# DNNF90 training history: one row per validation event
#  1:epoch  2:patience
#  3:cost_train    4:cost_val    5:cost_input   (per point;
#    the composite objective, Loss_term weights applied --
#    the same sum the optimizer descends)
#  6:cost_train_f  7:cost_train_df  8:cost_val_f  9:cost_val_df
# 10:cost_input_f 11:cost_input_df
# 12:rmse_train_f 13:rmse_train_df 14:rmse_val_f 15:rmse_val_df
# 16:rmse_input_f 17:rmse_input_df
# 18:mae_train_f  19:mae_train_df  20:mae_val_f  21:mae_val_df
# 22:mae_input_f  23:mae_input_df
1  0    0.75638E+00    0.84795E+00    0.76554E+00    0.80944E+00    0.27072E+00    0.88041E+00    0.31971E+00    0.81653E+00    0.27562E+00    0.12723E+01    0.11634E+01    0.13270E+01    0.12643E+01    0.12779E+01    0.11739E+01    0.12329E+01    0.10021E+01    0.12934E+01    0.11369E+01    0.12390E+01    0.10156E+01
50  0    0.28379E+00    0.32955E+00    0.28837E+00    0.43953E-01    0.25742E+00    0.50237E-01    0.29941E+00    0.44581E-01    0.26162E+00    0.29649E+00    0.11345E+01    0.31698E+00    0.12235E+01    0.29860E+00    0.11437E+01    0.25008E+00    0.97821E+00    0.26097E+00    0.10951E+01    0.25117E+00    0.98990E+00
100  0    0.50098E-02    0.47924E-02    0.49881E-02    0.55165E-03    0.46788E-02    0.44914E-03    0.45229E-02    0.54140E-03    0.46632E-02    0.33216E-01    0.15295E+00    0.29971E-01    0.15038E+00    0.32906E-01    0.15270E+00    0.28069E-01    0.13344E+00    0.25254E-01    0.13551E+00    0.27788E-01    0.13365E+00
150  0    0.10624E-02    0.21375E-02    0.11699E-02    0.55145E-04    0.10294E-02    0.35015E-04    0.21165E-02    0.53132E-04    0.11381E-02    0.10502E-01    0.71741E-01    0.83683E-02    0.10287E+00    0.10308E-01    0.75434E-01    0.83334E-02    0.50658E-01    0.67093E-02    0.70047E-01    0.81710E-02    0.52597E-01
200  0    0.69082E-03    0.12596E-02    0.74769E-03    0.35778E-04    0.66935E-03    0.26150E-04    0.12439E-02    0.34815E-04    0.72680E-03    0.84591E-02    0.57851E-01    0.72318E-02    0.78863E-01    0.83445E-02    0.60283E-01    0.67820E-02    0.44423E-01    0.62961E-02    0.57428E-01    0.67334E-02    0.45724E-01
250  0    0.51960E-03    0.91106E-03    0.55875E-03    0.24123E-04    0.50513E-03    0.19753E-04    0.89921E-03    0.23686E-04    0.54454E-03    0.69460E-02    0.50256E-01    0.62854E-02    0.67052E-01    0.68828E-02    0.52179E-01    0.57043E-02    0.39764E-01    0.55122E-02    0.51074E-01    0.56851E-02    0.40895E-01
300  0    0.41205E-03    0.69458E-03    0.44030E-03    0.18120E-04    0.40118E-03    0.16039E-04    0.68496E-03    0.17912E-04    0.42956E-03    0.60199E-02    0.44787E-01    0.56638E-02    0.58522E-01    0.59853E-02    0.46344E-01    0.50507E-02    0.36191E-01    0.49100E-02    0.45342E-01    0.50366E-02    0.37106E-01
350  0    0.33177E-03    0.54444E-03    0.35304E-03    0.14222E-04    0.32324E-03    0.13211E-04    0.53651E-03    0.14121E-04    0.34457E-03    0.53333E-02    0.40202E-01    0.51403E-02    0.51793E-01    0.53143E-02    0.41507E-01    0.45404E-02    0.32891E-01    0.43794E-02    0.40414E-01    0.45243E-02    0.33643E-01
400  0    0.26839E-03    0.43161E-03    0.28471E-03    0.11334E-04    0.26159E-03    0.10862E-04    0.42509E-03    0.11287E-04    0.27794E-03    0.47610E-02    0.36166E-01    0.46609E-02    0.46103E-01    0.47511E-02    0.37279E-01    0.40912E-02    0.29803E-01    0.39117E-02    0.36168E-01    0.40733E-02    0.30439E-01
450  0    0.21760E-03    0.34390E-03    0.23023E-03    0.90935E-05    0.21214E-03    0.89105E-05    0.33855E-03    0.90752E-05    0.22478E-03    0.42646E-02    0.32568E-01    0.42215E-02    0.41143E-01    0.42603E-02    0.33525E-01    0.36896E-02    0.26993E-01    0.35233E-02    0.32350E-01    0.36730E-02    0.27529E-01
