    0.989957667989E+00   -0.774791878492E-01   -0.168822326093E+00    0.269057713255E+00   -0.744082290375E-01   -0.267347778064E-01    0.841520857878E-01   -0.944021540710E-01   -0.155714218771E+00    0.602706655204E-01    0.302357325875E-01   -0.339185684996E-01   -0.559479118640E-01    0.364600322284E-01    0.106764241949E+00    0.176105203227E+00    0.900339571354E-01   -0.197555537359E+00    0.186020572594E-01    0.216551700232E-01   -0.681631894881E-01    0.764657447975E-01    0.126128517204E+00    0.131000411252E-01    0.383602502451E-01    0.632743654798E-01    0.323490811458E-01   -0.709814420267E-01    0.668369445161E-02   -0.412345220360E-01    0.462570554948E-01    0.762999671977E-01   -0.101824023803E+00    0.223425698243E+00   -0.210380214469E-01    0.114226606426E+00    0.188414204713E+00    0.236005385178E-01    0.389285546927E-01
   -0.172807354745E+00    0.971216105690E+00    0.863609406036E+00   -0.872122198151E+00   -0.816412546666E-02   -0.505042503410E-01   -0.314322805594E-01    0.257436335744E-02    0.116860329308E-01    0.661294162799E-02   -0.194443822874E+00    0.159253176600E-01    0.722911884491E-01    0.400042147866E-02    0.991142427238E-02    0.449917957788E-01    0.987859181465E-02   -0.368491335586E-02    0.204103136666E-02    0.409084427762E-01    0.254601472531E-01   -0.208523431953E-02   -0.946568667397E-02    0.247470826671E-01    0.613132483978E-01    0.278324595400E+00    0.611101429126E-01   -0.227953119252E-01    0.126260625852E-01    0.154018174741E-01   -0.126143804515E-02   -0.572615613611E-02    0.380330594769E-01   -0.141870958392E-01    0.785807013985E-02   -0.311497966250E-02   -0.141400998463E-01   -0.643590839360E-03   -0.292150823271E-02
   -0.604354618522E+00    0.634716789253E+00    0.260783559343E+00    0.341328080467E+00    0.333299917681E-02   -0.120530564220E-01   -0.418448761718E-01    0.148111882494E-02    0.600598461266E-02   -0.269972933322E-02    0.151322765688E+00   -0.535613956608E-02   -0.217193187174E-01   -0.163316959664E-02   -0.185950342431E-01   -0.754034636896E-01   -0.403292900395E-02    0.266894061480E-02   -0.833249794204E-03    0.976297570183E-02    0.338943496992E-01   -0.119970624820E-02   -0.486484753625E-02    0.590599764678E-02    0.672448401610E-01    0.272679996019E+00    0.145841982706E-01   -0.965163509218E-02    0.301326410550E-02    0.205039893242E-01   -0.725748224218E-03   -0.294293246020E-02    0.506323001679E-01   -0.335078059164E-01    0.104612190430E-01   -0.179215377817E-02   -0.726724138132E-02   -0.370279706234E-03   -0.150149615316E-02
    0.979050132326E+00   -0.442987591638E+00   -0.447264277826E+00    0.498549250433E+00   -0.909836574426E-01   -0.336259696218E-01    0.606184055296E-01   -0.231528526316E+00   -0.124906627679E+00    0.736967625285E-01    0.224035032241E-01   -0.855688967811E-01   -0.461633065315E-01    0.445819921469E-01    0.154257264374E+00    0.832197871880E-01    0.110090225506E+00   -0.317853208438E+00    0.227459143606E-01    0.272370353936E-01   -0.491009084790E-01    0.187538106316E+00    0.101174368420E+00    0.164767251147E-01    0.570107888779E-01    0.307565788689E-01    0.406874232424E-01   -0.117472990552E+00    0.840649240545E-02   -0.297030187095E-01    0.113448977895E+00    0.612042475625E-01   -0.733482706908E-01    0.211771599752E+00   -0.151546013824E-01    0.280149516842E+00    0.151137019491E+00    0.578821315789E-01    0.312266569197E-01
    0.597684552082E+00    0.483454404703E+00    0.682905146947E+00    0.620745113212E+00   -0.475500437242E-01   -0.385205804739E-01    0.204198893963E+00    0.421437564090E-02   -0.546459001439E-01    0.385155354166E-01    0.165422769603E+00    0.341409141418E-02   -0.442689770439E-01    0.232995214249E-01   -0.180982135287E-01    0.234671337712E+00    0.575355529063E-01    0.484328367346E-02    0.118875109311E-01    0.312016701839E-01   -0.165401104110E+00   -0.341364426913E-02    0.442631791166E-01    0.188750844322E-01   -0.146614731778E-01    0.190108682164E+00    0.466099023734E-01    0.392357364766E-02    0.963014511847E-02   -0.100057458042E+00   -0.206504406404E-02    0.267764910705E-01   -0.247080661696E+00   -0.207989960011E-01   -0.510497234909E-01   -0.509939452549E-02    0.661215391741E-01   -0.105359391023E-02    0.136614750360E-01
    0.356477579593E+00    0.309943010790E+00    0.896333114319E+00    0.595949442388E+00   -0.598595952394E-01   -0.753306213366E-01    0.144067172919E+00    0.214681275624E-01   -0.711922727967E-01    0.484862721439E-01    0.181302088777E+00    0.270166776394E-01   -0.895922888001E-01    0.293312016673E-01   -0.516684490333E-01    0.171342112062E+00    0.724301102397E-01    0.255324946275E-01    0.149648988099E-01    0.610178032827E-01   -0.116694410065E+00   -0.173891833255E-01    0.576657409654E-01    0.369120044550E-01   -0.650224304660E-01    0.215626378882E+00    0.911500518173E-01    0.321315016728E-01    0.188326553342E-01   -0.705929147304E-01   -0.105193825056E-01    0.348842136704E-01   -0.174321279232E+00   -0.614503707192E-01   -0.360167932298E-01   -0.259764343505E-01    0.861426500841E-01   -0.536703189059E-02    0.177980681992E-01
   -0.386359793752E+00   -0.258052458628E+00    0.154910713301E+00   -0.823974426605E+00   -0.808504490600E-02    0.152356122682E+00    0.698953502308E-02   -0.486312525430E-02    0.125341750844E-01    0.654888637386E-02   -0.131712126259E+00    0.916416564751E-01   -0.236196377271E+00    0.396167200394E-02    0.420418002395E-02   -0.108358156023E-01    0.978290433626E-02    0.753926095691E-02    0.202126122650E-02   -0.123408459372E+00   -0.566152336869E-02    0.393913145598E-02   -0.101526818184E-01   -0.746545001141E-01   -0.792243673292E-01    0.204192168436E+00   -0.184350908445E+00   -0.142071266225E+00   -0.380890306705E-01   -0.342487216131E-02    0.238293137461E-02   -0.614174579135E-02   -0.845733737793E-02   -0.651770387415E-02   -0.174738375577E-02    0.588438155771E-02   -0.151663518521E-01    0.121578131358E-02   -0.313354377110E-02
   -0.828151523218E+00    0.235143970554E+00    0.890827073580E+00    0.398835618851E+00    0.398388563783E-01   -0.751178738383E-01   -0.800048689911E-01   -0.139948044192E-01    0.645271372258E-01   -0.322694736664E-01    0.150852614800E+00    0.263878044785E-01   -0.121668687154E+00   -0.195210396254E-01    0.281045340129E-01   -0.129584170567E+00   -0.482050162177E-01   -0.226674344422E-01   -0.995971409457E-02    0.608454778090E-01    0.648039438828E-01    0.113357915796E-01   -0.522669811529E-01    0.368077581808E-01   -0.529923053065E-01    0.244336516181E+00    0.908926273443E-01    0.427404206712E-01    0.187794684596E-01    0.392023858056E-01    0.685745416543E-02   -0.316182972406E-01    0.968058914792E-01    0.455210135977E-01    0.200012172478E-01    0.169337133473E-01   -0.780778360432E-01    0.349870110481E-02   -0.161317843064E-01
   -0.933572477808E+00    0.942458402674E+00   -0.284468746342E+00    0.351479541168E-01   -0.531517068700E-02    0.797644877386E-02   -0.230960841684E-01   -0.878750356246E-02   -0.224992662060E-01    0.430528825647E-02    0.346601723810E-01    0.131873605089E-01    0.337645307949E-01    0.260443363663E-02   -0.381844598905E-01   -0.977663703804E-01    0.643135653127E-02   -0.371977484037E-01    0.132879267175E-02   -0.646092350683E-02    0.187078281764E-01    0.711787788559E-02    0.182244056268E-01   -0.390845989919E-02    0.573032186941E-01    0.146717479281E+00   -0.965150301637E-02    0.558224659408E-01   -0.199411219347E-02    0.113170812425E-01    0.430587674561E-02    0.110246404409E-01    0.279462618438E-01   -0.161635886898E+00    0.577402104210E-02    0.106328793106E-01    0.272241121092E-01    0.219687589062E-02    0.562481655149E-02
    0.181927306654E+00    0.174612422916E-02   -0.708647336990E+00   -0.887499835285E+00    0.866735314594E-02    0.155978442714E-01   -0.111381746137E-01    0.787457072492E-01   -0.121065388489E-01   -0.702055604821E-02   -0.200443561219E-01    0.141711461162E+00   -0.217870328405E-01   -0.424700304151E-02   -0.101193919603E+00    0.155577765664E-01   -0.104874973066E-01   -0.109991821949E+00   -0.216683828648E-02   -0.126342538598E-01    0.902192143708E-02   -0.637840228719E-01    0.980629646763E-02   -0.764294369298E-02   -0.182109459786E+00    0.279979103200E-01   -0.188733915684E-01   -0.197942241536E+00   -0.389946106785E-02    0.545770556070E-02   -0.385853965521E-01    0.593220403597E-02    0.134771912826E-01    0.141347433100E+00    0.278454365342E-02   -0.952823057716E-01    0.146489120072E-01   -0.196864268123E-01    0.302663471223E-02
