   -3.0630528373E+00   -3.1415926536E+00    3.5253122846E-04    1.5037172981E+00    1.0716635751E-03    7.9353218166E-02   -4.9875095880E-01    9.6084680447E-18    1.4969173337E+00   -1.2208716218E-16    7.8459095728E-02   -4.9692208515E-01
   -3.0630528373E+00    3.1415926536E+00   -3.4540698530E-03    1.5010027088E+00   -1.6958906229E-03    7.3455708237E-02   -4.9884074652E-01   -9.6084680447E-18    1.4969173337E+00    1.2208716218E-16    7.8459095728E-02   -4.9692208515E-01
   -3.1415926536E+00   -3.0630528373E+00   -8.7988470256E-04    1.5024193010E+00   -7.7997780296E-02    1.6758693125E-04   -4.9864233704E-01    9.6084680447E-18    1.4969173337E+00   -7.8459095728E-02    1.2208716218E-16   -4.9692208515E-01
    3.1415926536E+00   -3.0630528373E+00   -6.2280960404E-04    1.4984824175E+00   -7.5412061965E-02    1.8444506309E-03   -4.9895299265E-01   -9.6084680447E-18    1.4969173337E+00   -7.8459095728E-02   -1.2208716218E-16   -4.9692208515E-01
   -2.9059732046E+00   -3.1415926536E+00    1.1907003697E-03    1.4720679132E+00   -2.6301507112E-04    2.3459123838E-01   -4.7225278840E-01    2.8588811762E-17    1.4723699204E+00   -1.1908097106E-16    2.3344536386E-01   -4.7275163105E-01
   -2.9059732046E+00    3.1415926536E+00   -2.7253024610E-03    1.4713556902E+00    9.0898174567E-04    2.3324293428E-01   -4.7276370018E-01   -2.8588811762E-17    1.4723699204E+00    1.1908097106E-16    2.3344536386E-01   -4.7275163105E-01
   -3.1415926536E+00   -2.9059732046E+00   -9.3378476045E-04    1.4700673558E+00   -2.3462557795E-01    3.6758603173E-04   -4.7154501286E-01    2.8588811762E-17    1.4723699204E+00   -2.3344536386E-01    1.1908097106E-16   -4.7275163105E-01
    3.1415926536E+00   -2.9059732046E+00   -2.2182563307E-03    1.4705961190E+00   -2.3195267995E-01   -1.2310208055E-03   -4.7331434540E-01   -2.8588811762E-17    1.4723699204E+00   -2.3344536386E-01   -1.1908097106E-16   -4.7275163105E-01
   -2.7488935719E+00   -3.1415926536E+00    9.4923325332E-04    1.4205446041E+00   -7.9674927427E-04    3.8271380022E-01   -4.2567455690E-01    4.6865204053E-17    1.4238795325E+00   -1.1314261123E-16    3.8268343237E-01   -4.2677669530E-01
   -2.7488935719E+00    3.1415926536E+00   -1.4071793081E-03    1.4214460579E+00    1.5288461718E-03    3.8472096093E-01   -4.2568225550E-01   -4.6865204053E-17    1.4238795325E+00    1.1314261123E-16    3.8268343237E-01   -4.2677669530E-01
   -3.1415926536E+00   -2.7488935719E+00   -6.1754191152E-04    1.4194114169E+00   -3.8412599914E-01    1.4064185761E-04   -4.2474556021E-01    4.6865204053E-17    1.4238795325E+00   -3.8268343237E-01    1.1314261123E-16   -4.2677669530E-01
    3.1415926536E+00   -2.7488935719E+00   -2.3920187766E-03    1.4214083785E+00   -3.8274486130E-01   -1.9025880389E-03   -4.2658785165E-01   -4.6865204053E-17    1.4238795325E+00   -3.8268343237E-01   -1.1314261123E-16   -4.2677669530E-01
