2.0999999999999999e-01 -3.4000000000000002e-01 1.4999999999999999e-01 4.1999999999999998e-01
1 2.0390172668736228e-01
2 1.1006729023926184e-02
3 1.2573917734998665e-02
4 1.4367540315710822e-02
5 1.6227377802786269e-02
6 -6.7826459892752838e-04
7 -6.8559055246941876e-04
8 -6.6778148047450967e-04
9 -6.2642821430421690e-04
10 -7.1124699439515575e-04
11 -7.1058757593498584e-04
12 -6.8367120097604284e-04
13 -7.2708441122682269e-04
14 -7.1579837318512020e-04
15 -7.1993990632080178e-04
16 -4.0030240976183579e-04
17 -4.0159961702656915e-04
18 -3.8646898087389361e-04
19 -3.5626207596849287e-04
20 -4.1400184085440129e-04
21 -4.0906754792455918e-04
22 -3.8723750392890237e-04
23 -4.1406258109996863e-04
24 -4.0100788896302623e-04
25 -3.9634316358743235e-04
26 -4.3960397565305726e-04
27 -4.4693637481148842e-04
28 -4.3534405695059902e-04
29 -4.6630266975496246e-04
30 -4.6543649930537180e-04
31 -4.7482676274052257e-04
32 -4.9994092123375317e-04
33 -5.1197253071490363e-04
34 -5.3645905810179983e-04
35 -5.7573462028309914e-04
