# epoch  line-search objective  step  its  ok
139    0.21669991E+02    0.1000E+01    1   T
140    0.21350735E+02    0.1000E+01    1   T
141    0.21056988E+02    0.1000E+01    1   T
142    0.20673538E+02    0.1000E+01    1   T
143    0.20213847E+02    0.1000E+01    1   T
144    0.19817401E+02    0.1000E+01    1   T
145    0.19423732E+02    0.1000E+01    1   T
146    0.19226888E+02    0.1000E+01    1   T
147    0.19005340E+02    0.1000E+01    1   T
148    0.18570601E+02    0.1000E+01    1   T
149    0.18189144E+02    0.1000E+01    1   T
150    0.17844441E+02    0.1000E+01    1   T
151    0.17541557E+02    0.1000E+01    1   T
152    0.17331185E+02    0.1000E+01    1   T
153    0.17096666E+02    0.1000E+01    1   T
154    0.16811809E+02    0.1000E+01    1   T
155    0.16498307E+02    0.1000E+01    1   T
156    0.16222465E+02    0.1000E+01    1   T
157    0.15952471E+02    0.1000E+01    1   T
158    0.15759145E+02    0.1000E+01    1   T
159    0.15603396E+02    0.1000E+01    1   T
160    0.15363426E+02    0.1000E+01    1   T
161    0.15298070E+02    0.1000E+01    1   T
162    0.14869046E+02    0.1000E+01    1   T
163    0.14769047E+02    0.1000E+01    1   T
164    0.14669625E+02    0.1000E+01    1   T
165    0.14523060E+02    0.1000E+01    1   T
166    0.14321584E+02    0.1000E+01    1   T
167    0.14152144E+02    0.1000E+01    1   T
168    0.14011125E+02    0.1000E+01    1   T
169    0.13871226E+02    0.1000E+01    1   T
170    0.13695914E+02    0.1000E+01    1   T
171    0.13442996E+02    0.1000E+01    1   T
172    0.13398070E+02    0.1000E+01    1   T
173    0.13256168E+02    0.1000E+01    1   T
174    0.13153276E+02    0.1000E+01    1   T
175    0.12974877E+02    0.1000E+01    1   T
176    0.12795738E+02    0.1000E+01    1   T
177    0.12594894E+02    0.1000E+01    1   T
178    0.12387965E+02    0.1000E+01    1   T
179    0.12188288E+02    0.1000E+01    1   T
180    0.12016248E+02    0.1000E+01    1   T
181    0.11880202E+02    0.1000E+01    1   T
182    0.11763840E+02    0.1000E+01    1   T
183    0.11663673E+02    0.1000E+01    1   T
184    0.11599761E+02    0.1000E+01    1   T
185    0.11504422E+02    0.1000E+01    1   T
186    0.11397188E+02    0.1000E+01    1   T
187    0.11256656E+02    0.1000E+01    1   T
188    0.11185581E+02    0.1000E+01    1   T
189    0.11040041E+02    0.1000E+01    1   T
190    0.10961896E+02    0.1000E+01    1   T
191    0.10888476E+02    0.1000E+01    1   T
192    0.10792886E+02    0.1000E+01    1   T
193    0.10788796E+02    0.1000E+01    1   T
194    0.10610737E+02    0.1000E+01    1   T
195    0.10557993E+02    0.1000E+01    1   T
196    0.10479695E+02    0.1000E+01    1   T
197    0.10441129E+02    0.1000E+01    1   T
198    0.10353408E+02    0.1000E+01    1   T
199    0.10282679E+02    0.1000E+01    1   T
200    0.10215768E+02    0.1000E+01    1   T
201    0.10097629E+02    0.1000E+01    1   T
202    0.98790613E+01    0.1000E+01    1   T
203    0.98767144E+01    0.1000E+01    1   T
204    0.96852017E+01    0.1000E+01    1   T
205    0.96603289E+01    0.1000E+01    1   T
206    0.96167478E+01    0.1000E+01    1   T
207    0.95404951E+01    0.1000E+01    1   T
208    0.94718385E+01    0.1000E+01    1   T
209    0.93626019E+01    0.1000E+01    1   T
210    0.93095408E+01    0.1000E+01    1   T
211    0.92465874E+01    0.1000E+01    1   T
212    0.91867280E+01    0.1000E+01    1   T
213    0.91164347E+01    0.1000E+01    1   T
214    0.90108778E+01    0.1000E+01    1   T
215    0.89064980E+01    0.1000E+01    1   T
216    0.88382394E+01    0.5000E+00    2   T
217    0.87049758E+01    0.1000E+01    1   T
218    0.86429431E+01    0.1000E+01    1   T
219    0.85862739E+01    0.1000E+01    1   T
220    0.85221189E+01    0.1000E+01    1   T
221    0.84666399E+01    0.5000E+00    2   T
222    0.83871175E+01    0.1000E+01    1   T
223    0.83305182E+01    0.1000E+01    1   T
224    0.82794096E+01    0.1000E+01    1   T
225    0.81822605E+01    0.1000E+01    1   T
226    0.81674264E+01    0.1000E+01    1   T
227    0.80202775E+01    0.1000E+01    1   T
228    0.79724990E+01    0.1000E+01    1   T
229    0.79192748E+01    0.1000E+01    1   T
230    0.78587293E+01    0.1000E+01    1   T
231    0.77782485E+01    0.1000E+01    1   T
232    0.77389403E+01    0.5000E+00    2   T
233    0.76909773E+01    0.1000E+01    1   T
234    0.76569810E+01    0.1000E+01    1   T
235    0.76056529E+01    0.1000E+01    1   T
236    0.75371895E+01    0.1000E+01    1   T
237    0.75064153E+01    0.1000E+01    1   T
238    0.74407456E+01    0.1000E+01    1   T
239    0.73991522E+01    0.1000E+01    1   T
240    0.73506616E+01    0.1000E+01    1   T
241    0.73389466E+01    0.1000E+01    1   T
242    0.72401806E+01    0.1000E+01    1   T
243    0.71960581E+01    0.1000E+01    1   T
244    0.71310187E+01    0.1000E+01    1   T
245    0.70525996E+01    0.1000E+01    1   T
246    0.70000357E+01    0.1000E+01    1   T
247    0.69385436E+01    0.1000E+01    1   T
248    0.69002984E+01    0.1000E+01    1   T
249    0.68211043E+01    0.1000E+01    1   T
250    0.67726745E+01    0.1000E+01    1   T
251    0.66709373E+01    0.1000E+01    1   T
252    0.66296758E+01    0.1000E+01    1   T
253    0.65798463E+01    0.1000E+01    1   T
254    0.65678757E+01    0.1000E+01    1   T
255    0.64925858E+01    0.1000E+01    1   T
256    0.64479353E+01    0.1000E+01    1   T
257    0.64013731E+01    0.1000E+01    1   T
258    0.63543395E+01    0.1000E+01    1   T
259    0.63114186E+01    0.5000E+00    2   T
260    0.62463274E+01    0.1000E+01    1   T
261    0.62069466E+01    0.1000E+01    1   T
262    0.61683917E+01    0.1000E+01    1   T
263    0.61286203E+01    0.1000E+01    1   T
264    0.61095156E+01    0.1000E+01    1   T
265    0.60529118E+01    0.1000E+01    1   T
266    0.60341783E+01    0.1000E+01    1   T
267    0.59950644E+01    0.1000E+01    1   T
268    0.59387747E+01    0.1000E+01    1   T
269    0.58832679E+01    0.1000E+01    1   T
270    0.58483037E+01    0.1000E+01    1   T
271    0.58206935E+01    0.1000E+01    1   T
272    0.57883842E+01    0.1000E+01    1   T
273    0.57517765E+01    0.1000E+01    1   T
274    0.57187061E+01    0.1000E+01    1   T
275    0.56966449E+01    0.1000E+01    1   T
276    0.56560984E+01    0.1000E+01    1   T
277    0.56053155E+01    0.1000E+01    1   T
278    0.55602769E+01    0.1000E+01    1   T
279    0.55094397E+01    0.1000E+01    1   T
280    0.54745377E+01    0.1000E+01    1   T
281    0.54387334E+01    0.1000E+01    1   T
282    0.53974428E+01    0.1000E+01    1   T
283    0.53747515E+01    0.1000E+01    1   T
284    0.53235458E+01    0.1000E+01    1   T
285    0.53140826E+01    0.1000E+01    1   T
286    0.52740467E+01    0.1000E+01    1   T
287    0.52567581E+01    0.1000E+01    1   T
288    0.52198787E+01    0.1000E+01    1   T
289    0.51745490E+01    0.1000E+01    1   T
290    0.51489067E+01    0.5000E+00    2   T
291    0.50930809E+01    0.1000E+01    1   T
292    0.50689587E+01    0.1000E+01    1   T
293    0.50437257E+01    0.1000E+01    1   T
294    0.50226093E+01    0.1000E+01    1   T
295    0.49811792E+01    0.1000E+01    1   T
296    0.49227565E+01    0.1000E+01    1   T
297    0.48768608E+01    0.1000E+01    1   T
