   -1.3686717896E+00   -2.3338725277E+00    7.0745131963E-01    3.5686002070E-01    1.4667414458E-01    6.7629922837E-01    2.4171001819E-01    7.0800053252E-01    3.6125131576E-01    1.4508547214E-01    6.7707773139E-01    2.4100677834E-01
    1.3177751180E+00    2.1099952196E+00    8.3061026340E-01    3.7206724469E-01   -2.1768532544E-01   -4.9505868145E-01    3.3758341014E-01    8.3079819927E-01    3.7146832668E-01   -2.1481334716E-01   -4.9710078146E-01    3.3685262843E-01
   -2.5481278351E+00   -8.1239551173E-01    4.0577804012E-01   -7.1274576439E-02   -6.0123656056E-01   -3.8525288947E-01   -8.2564009975E-02    4.0597052464E-01   -7.0159721131E-02   -6.0180741541E-01   -3.8462145063E-01   -8.0135020363E-02
    1.3012460163E+00   -1.9404690462E+00   -8.9831657402E-01    4.0510705367E-01    2.4916603573E-01   -3.4717825892E-01    3.9790669666E-01   -8.9877572804E-01    4.0378379072E-01    2.4830842169E-01   -3.4826363500E-01    3.9927012520E-01
   -5.5134782325E-01    1.1690137803E+00   -4.8241095896E-01    8.3908604114E-01   -7.8284749221E-01   -2.0530525930E-01    6.0645584494E-02   -4.8212033807E-01    8.3311206145E-01   -7.8398495054E-01   -2.0485099819E-01    6.0738187449E-02
   -1.3043737191E+00    3.0747227985E+00   -6.4595358264E-02    2.3848609745E-01   -1.5251498211E-02    9.6297485129E-01   -3.2895949179E-02   -6.4462548410E-02    2.3730647282E-01   -1.7592507993E-02    9.6256282615E-01   -3.2426234539E-02
   -2.8853798162E+00   -6.6147398837E-01    1.5552784454E-01   -2.6141516989E-01   -5.9244208562E-01   -2.0123396970E-01   -2.8014206892E-01    1.5567028405E-01   -2.6332918340E-01   -5.9422844829E-01   -1.9996967690E-01   -2.7921910244E-01
   -1.4886507321E+00   -9.9645841645E-01    8.3709847485E-01    5.4488934891E-01    6.9667681240E-02   -5.4300076544E-01    3.4843663836E-01    8.3672117177E-01    5.4457780680E-01    6.8887977686E-02   -5.4144708549E-01    3.4905756921E-01
    1.8429014390E+00   -2.4011524777E+00   -6.5031928087E-01    6.9748851088E-01   -1.8105526516E-01   -7.1184923893E-01    1.9143802896E-01   -6.4979204635E-01    6.9839079245E-01   -1.8130875453E-01   -7.1101232444E-01    1.9143539849E-01
   -1.8659734842E+00   -1.6065599635E+00    9.5576415706E-01    5.0909437937E-01   -2.8926557984E-01    3.3842227782E-02    4.5836266707E-01    9.5613882573E-01    5.1040175861E-01   -2.9072332800E-01    3.4209587953E-02    4.5704662874E-01
    9.7697749243E-02    3.0042269657E+00    1.4158016653E-02   -4.8378783445E-01   -1.3578282291E-01   -9.7076137851E-02   -4.8707828332E-01    1.3356881002E-02   -4.8585644948E-01   -1.3628110742E-01   -9.6623571158E-02   -4.8586726636E-01
