2.0999999999999999e-01 -3.4000000000000002e-01 1.4999999999999999e-01 4.1999999999999998e-01
1 2.1875569064268019e-01
2 1.4165162454760363e-02
3 1.5737416722383168e-02
4 1.7104453548970659e-02
5 1.8144159606182882e-02
6 -8.6102314426757796e-04
7 -8.6736013436311446e-04
8 -8.3591282344897227e-04
9 -8.9458198546132168e-04
10 -8.8284356464483568e-04
11 -4.9997386172102669e-04
12 -4.9694026803346269e-04
13 -4.7077108740058691e-04
14 -5.0612849209333299e-04
15 -4.9128190780290163e-04
16 -5.2750513109432273e-04
17 1.3549125314015254e-04
18 1.3468893882884037e-04
19 1.2841879156977963e-04
20 1.3233753589110493e-04
21 6.6078905982899663e-05
22 6.3323659813167526e-05
23 -4.7181385173787255e-05
24 -1.6213190480353999e-05
