    0.989957667989E+00   -0.774791878492E-01   -0.168822326093E+00    0.269057713255E+00   -0.744082290375E-01   -0.267347778064E-01    0.841520857878E-01   -0.944021540710E-01   -0.155714218771E+00    0.602706655204E-01    0.302357325875E-01   -0.339185684996E-01    0.364600322284E-01    0.106764241949E+00    0.216551700232E-01   -0.681631894881E-01    0.764657447975E-01    0.131000411252E-01    0.383602502451E-01    0.462570554948E-01   -0.488192390715E-01   -0.295326261050E-01   -0.864790359785E-01    0.166200985648E-01   -0.175406877188E-01   -0.374682149508E-01    0.395435836479E-01    0.142079570522E-01
   -0.172807354745E+00    0.971216105690E+00    0.863609406036E+00   -0.872122198151E+00   -0.816412546666E-02   -0.505042503410E-01   -0.314322805594E-01    0.257436335744E-02    0.116860329308E-01    0.661294162799E-02   -0.194443822874E+00    0.159253176600E-01    0.400042147866E-02    0.991142427238E-02    0.409084427762E-01    0.254601472531E-01   -0.208523431953E-02    0.247470826671E-01    0.613132483978E-01   -0.126143804515E-02   -0.535648271867E-02   -0.324034139772E-02   -0.802825366063E-02   -0.780340565342E-02   -0.331358386487E-01    0.102176481657E-02    0.433875100212E-02    0.268400293055E-01
   -0.604354618522E+00    0.634716789253E+00    0.260783559343E+00    0.341328080467E+00    0.333299917681E-02   -0.120530564220E-01   -0.418448761718E-01    0.148111882494E-02    0.600598461266E-02   -0.269972933322E-02    0.151322765688E+00   -0.535613956608E-02   -0.163316959664E-02   -0.185950342431E-01    0.976297570183E-02    0.338943496992E-01   -0.119970624820E-02    0.590599764678E-02    0.672448401610E-01   -0.725748224218E-03    0.218678075991E-02    0.132286737328E-02    0.150619777369E-01    0.262450838738E-02   -0.790801031848E-02    0.587856061617E-03   -0.177129241553E-02    0.640548835797E-02
    0.979050132326E+00   -0.442987591638E+00   -0.447264277826E+00    0.498549250433E+00   -0.909836574426E-01   -0.336259696218E-01    0.606184055296E-01   -0.231528526316E+00   -0.124906627679E+00    0.736967625285E-01    0.224035032241E-01   -0.855688967811E-01    0.445819921469E-01    0.154257264374E+00    0.272370353936E-01   -0.491009084790E-01    0.187538106316E+00    0.164767251147E-01    0.570107888779E-01    0.113448977895E+00   -0.596943776481E-01   -0.361114136390E-01   -0.124948384143E+00    0.419287594227E-01   -0.220619986689E-01   -0.918936720947E-01    0.483524458949E-01    0.178702189218E-01
    0.597684552082E+00    0.483454404703E+00    0.682905146947E+00    0.620745113212E+00   -0.475500437242E-01   -0.385205804739E-01    0.204198893963E+00    0.421437564090E-02   -0.546459001439E-01    0.385155354166E-01    0.165422769603E+00    0.341409141418E-02    0.232995214249E-01   -0.180982135287E-01    0.312016701839E-01   -0.165401104110E+00   -0.341364426913E-02    0.188750844322E-01   -0.146614731778E-01   -0.206504406404E-02   -0.311975836875E-01   -0.188726123541E-01    0.146595529582E-01   -0.167290479295E-02   -0.252733528489E-01    0.167268569187E-02    0.252700427868E-01    0.204714158076E-01
    0.356477579593E+00    0.309943010790E+00    0.896333114319E+00    0.595949442388E+00   -0.598595952394E-01   -0.753306213366E-01    0.144067172919E+00    0.214681275624E-01   -0.711922727967E-01    0.484862721439E-01    0.181302088777E+00    0.270166776394E-01    0.293312016673E-01   -0.516684490333E-01    0.610178032827E-01   -0.116694410065E+00   -0.173891833255E-01    0.369120044550E-01   -0.650224304660E-01   -0.105193825056E-01   -0.392738804366E-01   -0.237582733505E-01    0.418514437170E-01   -0.132381720433E-01   -0.494244206590E-01    0.852069982951E-02    0.318118431536E-01    0.400337807338E-01
   -0.386359793752E+00   -0.258052458628E+00    0.154910713301E+00   -0.823974426605E+00   -0.808504490600E-02    0.152356122682E+00    0.698953502308E-02   -0.486312525430E-02    0.125341750844E-01    0.654888637386E-02   -0.131712126259E+00    0.916416564751E-01    0.396167200394E-02    0.420418002395E-02   -0.123408459372E+00   -0.566152336869E-02    0.393913145598E-02   -0.746545001141E-01   -0.792243673292E-01    0.238293137461E-02   -0.530459796283E-02   -0.320895432319E-02   -0.340538581940E-02   -0.449044116728E-01    0.999608520916E-01   -0.193017441343E-02    0.429672434989E-02   -0.809682901942E-01
   -0.828151523218E+00    0.235143970554E+00    0.890827073580E+00    0.398835618851E+00    0.398388563783E-01   -0.751178738383E-01   -0.800048689911E-01   -0.139948044192E-01    0.645271372258E-01   -0.322694736664E-01    0.150852614800E+00    0.263878044785E-01   -0.195210396254E-01    0.281045340129E-01    0.608454778090E-01    0.648039438828E-01    0.113357915796E-01    0.368077581808E-01   -0.529923053065E-01    0.685745416543E-02    0.261382736698E-01    0.158120420965E-01   -0.227646725504E-01   -0.129300241944E-01   -0.492848370253E-01   -0.555453787399E-02   -0.211720016725E-01    0.399207179905E-01
   -0.933572477808E+00    0.942458402674E+00   -0.284468746342E+00    0.351479541168E-01   -0.531517068700E-02    0.797644877386E-02   -0.230960841684E-01   -0.878750356246E-02   -0.224992662060E-01    0.430528825647E-02    0.346601723810E-01    0.131873605089E-01    0.260443363663E-02   -0.381844598905E-01   -0.646092350683E-02    0.187078281764E-01    0.711787788559E-02   -0.390845989919E-02    0.573032186941E-01    0.430587674561E-02   -0.348728348774E-02   -0.210959124567E-02    0.309294125113E-01   -0.646180664938E-02    0.523334804053E-02   -0.348776016394E-02    0.282469962507E-02   -0.423901191283E-02
    0.181927306654E+00    0.174612422916E-02   -0.708647336990E+00   -0.887499835285E+00    0.866735314594E-02    0.155978442714E-01   -0.111381746137E-01    0.787457072492E-01   -0.121065388489E-01   -0.702055604821E-02   -0.200443561219E-01    0.141711461162E+00   -0.424700304151E-02   -0.101193919603E+00   -0.126342538598E-01    0.902192143708E-02   -0.637840228719E-01   -0.764294369298E-02   -0.182109459786E+00   -0.385853965521E-01    0.568665039905E-02    0.344007246362E-02    0.819670748784E-01   -0.694386159692E-01    0.102337456265E-01    0.312541712072E-01   -0.460618682323E-02   -0.828933395743E-02
   -0.450639331297E+00    0.494599608628E+00   -0.544943048788E+00    0.562435399529E+00    0.177796018174E-02   -0.151002462474E-01   -0.802928679689E-02    0.630985083130E-02    0.221787381502E-02   -0.144014774721E-02    0.681928701607E-01   -0.535896710825E-01   -0.871200489053E-03   -0.284953524216E-01    0.122311994604E-01    0.650372230548E-02   -0.511097917336E-02    0.739912066123E-02    0.242011515720E+00   -0.309182690734E-02    0.116651967524E-02    0.705672396133E-03    0.230812354615E-01    0.262589388304E-01   -0.990727156293E-02    0.250437979494E-02   -0.944880936944E-03    0.802488996597E-02
   -0.616915079766E+00    0.522629566946E+00   -0.383330011024E+00   -0.184054207477E+00    0.123927744551E-03   -0.427478643291E-03   -0.642730948325E-03    0.262913793948E-03    0.777165001092E-02   -0.100381473086E-03    0.221704796442E-02   -0.906899680511E-03   -0.607245948299E-04   -0.136355932826E-02    0.346257701066E-03    0.520612068143E-03   -0.212960173098E-03    0.209464535213E-03    0.470348664702E-02   -0.128827759035E-03    0.813089931999E-04    0.491869218123E-04    0.110448305589E-02    0.444380843450E-03   -0.280468737863E-03    0.104350484818E-03   -0.658602844919E-04    0.227179677669E-03
    0.369949593643E+00   -0.431619879665E+00   -0.386811996605E+00   -0.380197730490E-01   -0.157176463413E-01   -0.192815164037E-01    0.106401156329E-01   -0.336599958540E-01   -0.968220967290E-01    0.127312935365E-01    0.130526899294E-01   -0.412921723845E-01    0.770164670725E-02    0.227862518543E-01    0.156180282870E-01   -0.861849366267E-02    0.272645966417E-01    0.944794303779E-02    0.279528804355E-01    0.164933979685E-01   -0.103123477645E-01   -0.623833383287E-02   -0.184568640020E-01    0.202331644684E-01   -0.126506029124E-01   -0.133596523544E-01    0.835300168928E-02    0.102469883591E-01
   -0.617874044322E+00    0.864131482757E+00    0.790098798320E+00    0.396236059076E+00   -0.763686540054E-02    0.262499805232E-01   -0.507777905081E-01    0.168812147612E-02   -0.124267441855E-01    0.618586097443E-02    0.174537057018E+00   -0.580253200034E-02    0.374206404626E-02    0.112243799217E-01   -0.212624842238E-01    0.411300103116E-01   -0.136737839566E-02   -0.128624904564E-01   -0.385812422868E-01   -0.827179523298E-03   -0.501054738929E-02   -0.303107187747E-02   -0.909174773659E-02    0.284324068017E-02    0.172226122213E-01    0.670015413872E-03    0.405854338533E-02   -0.139503158992E-01
   -0.903856639101E+00    0.620331759497E+00   -0.999840478620E-01    0.580402625210E+00    0.872278051583E-02   -0.139211921959E-01   -0.927071181225E-01    0.950681903289E-02    0.106041661041E-01   -0.706545221782E-02    0.147956675852E+00   -0.151724848158E-01   -0.427416245276E-02   -0.101040005931E+00    0.112761656787E-01    0.750927656793E-01   -0.770052341664E-02    0.682138417598E-02    0.161255615624E+00   -0.465834132611E-02    0.572301629643E-02    0.346207158673E-02    0.818424048039E-01    0.743451755976E-02   -0.913369419972E-02    0.377325647415E-02   -0.463564320011E-02    0.739829230177E-02
    0.492875466154E+00    0.196671818139E+00   -0.952869391077E+00   -0.594091069236E+00   -0.693406695793E-02   -0.678560934937E-02    0.128047880285E-01    0.511053652948E-01    0.173667749925E-01    0.561659423592E-02    0.125306389296E-01    0.500112050621E-01    0.339769280938E-02   -0.943736732991E-01    0.549634357299E-02   -0.103718783031E-01   -0.413953458888E-01    0.332494858119E-02   -0.923531433657E-01   -0.250416289945E-01   -0.454944133110E-02   -0.275213117560E-02    0.764426753723E-01   -0.245054904804E-01   -0.445203829412E-02    0.202837194855E-01    0.368504747819E-02    0.360615101824E-02
   -0.556564431538E+00    0.622394331959E+00   -0.971004407099E+00    0.573184932962E+00   -0.809205648719E-03    0.357606375919E-02    0.879396164457E-02    0.524509330092E-02   -0.993921654785E-03    0.655456575463E-03   -0.388625160818E-01   -0.231792599282E-01    0.396510767873E-03   -0.570005280901E-01   -0.289661164494E-02   -0.712310893210E-02   -0.424852557375E-02   -0.175227124200E-02    0.251898294433E+00   -0.257009571745E-02   -0.530919826125E-03   -0.321173721977E-03    0.461704277530E-01    0.113578373648E-01    0.234625543241E-02    0.208177753114E-02    0.430045059161E-03   -0.190046690025E-02
    0.698300599096E+00    0.840912201906E+00    0.822214747334E+00   -0.702971282898E+00   -0.171588743423E-01   -0.115539050363E-01   -0.135152709452E+00    0.449193094342E-02    0.333927654153E-01    0.138986882172E-01   -0.910048957327E-01    0.302463567917E-02    0.840784842771E-02    0.353809128481E-01    0.935866307940E-02    0.109473694656E+00   -0.363846406417E-02    0.566141346778E-02    0.238236902370E-01   -0.220104616228E-02   -0.112579374560E-01   -0.681035722644E-02   -0.286585394070E-01   -0.148207148279E-02   -0.758051709431E-02    0.178284739145E-02    0.911892933933E-02    0.614021884639E-02
   -0.246502344462E+00    0.490286623898E+00    0.524439614450E+00    0.593069949074E-01   -0.156923211038E-02   -0.180354542473E-01    0.694802187727E-02   -0.162586258173E-03   -0.601769071131E-02    0.127107800941E-02    0.798548091437E-01   -0.186863179839E-02    0.768923734089E-03    0.719876219236E-03    0.146087179403E-01   -0.562789772059E-02    0.131694869120E-03    0.883737258119E-02    0.827366106636E-02    0.796672665047E-04   -0.102957318762E-02   -0.622828224612E-03   -0.583099737582E-03    0.915629581211E-03   -0.118330615317E-01   -0.645304858688E-04    0.833954281975E-03    0.958477984065E-02
