1    0.40947059E+01    0.6976E-03    2   T
2    0.12756335E+01    0.1000E+01    1   T
3    0.11529573E+01    0.1000E+01    1   T
4    0.78057722E+00    0.1000E+01    1   T
5    0.73597573E+00    0.1000E+01    1   T
6    0.37054232E+00    0.1000E+01    1   T
7    0.21666081E+00    0.1000E+01    1   T
8    0.14625606E+00    0.1000E+01    1   T
9    0.72827989E-01    0.1000E+01    1   T
10    0.55541760E-01    0.1000E+01    1   T
11    0.48105256E-01    0.1000E+01    1   T
12    0.45191010E-01    0.1000E+01    1   T
13    0.43239342E-01    0.1000E+01    1   T
14    0.39274883E-01    0.1000E+01    1   T
15    0.34487916E-01    0.1000E+01    1   T
16    0.31219608E-01    0.1000E+01    1   T
17    0.28809520E-01    0.1000E+01    1   T
18    0.26981701E-01    0.1000E+01    1   T
19    0.25098386E-01    0.1000E+01    1   T
20    0.22024624E-01    0.1000E+01    1   T
21    0.20287070E-01    0.1000E+01    1   T
22    0.18695713E-01    0.1000E+01    1   T
23    0.13578264E-01    0.1000E+01    1   T
24    0.10465252E-01    0.1000E+01    1   T
25    0.87828248E-02    0.1000E+01    1   T
26    0.80825278E-02    0.1000E+01    1   T
27    0.77627310E-02    0.1000E+01    1   T
28    0.74850432E-02    0.1000E+01    1   T
29    0.72198644E-02    0.1000E+01    1   T
30    0.68501076E-02    0.1000E+01    1   T
31    0.62982118E-02    0.1000E+01    1   T
32    0.59227956E-02    0.1000E+01    1   T
33    0.54546850E-02    0.1000E+01    1   T
34    0.50164677E-02    0.1000E+01    1   T
35    0.45654191E-02    0.1000E+01    1   T
36    0.38337329E-02    0.1000E+01    1   T
37    0.30108006E-02    0.1000E+01    1   T
38    0.24636244E-02    0.1000E+01    1   T
39    0.24353546E-02    0.1000E+01    1   T
40    0.22206635E-02    0.1000E+01    1   T
41    0.22081843E-02    0.1000E+01    1   T
42    0.22030040E-02    0.1000E+01    1   T
43    0.22005681E-02    0.1000E+01    1   T
44    0.21726611E-02    0.1000E+01    1   T
45    0.20821278E-02    0.1000E+01    1   T
46    0.19707913E-02    0.1000E+01    1   T
47    0.18895998E-02    0.1000E+01    1   T
48    0.18534186E-02    0.1000E+01    1   T
49    0.18276321E-02    0.1000E+01    1   T
50    0.18160634E-02    0.1000E+01    1   T
51    0.18106401E-02    0.1000E+01    1   T
52    0.17932094E-02    0.1000E+01    1   T
53    0.17524003E-02    0.1000E+01    1   T
54    0.16919180E-02    0.1000E+01    1   T
55    0.16419806E-02    0.1000E+01    1   T
56    0.16170500E-02    0.1000E+01    1   T
57    0.15898157E-02    0.1000E+01    1   T
58    0.15778546E-02    0.1000E+01    1   T
59    0.15732814E-02    0.1000E+01    1   T
60    0.15664580E-02    0.1000E+01    1   T
61    0.15553605E-02    0.1000E+01    1   T
62    0.14887165E-02    0.1000E+01    1   T
63    0.13695960E-02    0.1000E+01    1   T
64    0.12986577E-02    0.1000E+01    1   T
65    0.12444714E-02    0.1000E+01    1   T
66    0.12175541E-02    0.5000E+00    2   T
67    0.12103646E-02    0.1000E+01    1   T
68    0.12073541E-02    0.1000E+01    1   T
69    0.12020546E-02    0.1000E+01    1   T
70    0.11896688E-02    0.1000E+01    1   T
71    0.11840641E-02    0.1000E+01    1   T
72    0.11586248E-02    0.1000E+01    1   T
73    0.11272043E-02    0.1000E+01    1   T
74    0.10784482E-02    0.1000E+01    1   T
75    0.10063566E-02    0.1000E+01    1   T
76    0.98386298E-03    0.5000E+00    2   T
77    0.94706584E-03    0.1000E+01    1   T
78    0.85256881E-03    0.1000E+01    1   T
79    0.79465231E-03    0.1000E+01    1   T
80    0.77215008E-03    0.1000E+01    1   T
81    0.76208710E-03    0.5000E+00    2   T
82    0.75806277E-03    0.1000E+01    1   T
83    0.75512514E-03    0.1000E+01    1   T
84    0.75335739E-03    0.1000E+01    1   T
85    0.74903940E-03    0.1000E+01    1   T
86    0.74452927E-03    0.1000E+01    1   T
87    0.73933878E-03    0.1000E+01    1   T
88    0.72939958E-03    0.1000E+01    1   T
89    0.72497089E-03    0.5000E+00    2   T
90    0.71168064E-03    0.1000E+01    1   T
91    0.70191125E-03    0.1000E+01    1   T
92    0.69685708E-03    0.1000E+01    1   T
93    0.68796404E-03    0.1000E+01    1   T
94    0.67047316E-03    0.1000E+01    1   T
95    0.63934207E-03    0.1000E+01    1   T
96    0.62255510E-03    0.5000E+00    2   T
97    0.58131913E-03    0.1000E+01    1   T
98    0.55467032E-03    0.1000E+01    1   T
