   -0.562910663812E+01    0.538265910046E+00    0.570605039437E-01
   -0.288536953569E+00    0.635553883705E+00    0.775108079089E+00
    0.830925845459E+01    0.260206876176E+00    0.374492060298E-01
   -0.952417762897E+01    0.180024080025E+00    0.591716310148E-02
    0.907297443769E+01    0.160023959826E+00    0.172422074318E-01
    0.173632379480E+01    0.855016269575E+00    0.982776240146E+00
    0.378515092331E+01    0.351780247976E+00    0.584685721247E+00
   -0.115028187018E+01    0.752246554874E+00    0.529320760070E+00
   -0.473154554163E+01    0.562722694876E+00    0.100790816700E+00
   -0.616639571365E+01    0.406596306527E+00    0.497914487660E-01
   -0.141037152541E+01    0.676077049027E+00    0.516831872893E+00
   -0.540561370948E+00    0.445763929519E+00    0.822550400571E+00
    0.870639587280E+01    0.401777253203E+00    0.367513867399E-01
    0.219815295007E+01    0.337922399534E-01    0.744171996641E+00
    0.707337483341E+01    0.314063240250E-01    0.591386936460E-01
   -0.953172411103E+01    0.675384884314E+00    0.200207321109E-02
   -0.181531477785E+01    0.884706735241E-01    0.756814830124E+00
    0.585448888486E+01    0.869455942674E+00    0.439005346517E+00
    0.251896356015E+01    0.821732764037E-01    0.703844782462E+00
   -0.763585956947E+01    0.149333188277E+00    0.277926163909E-01
    0.438053792615E+01    0.117563596405E+00    0.347892227941E+00
    0.903390128137E+01    0.953592984526E+00    0.812341718229E-01
    0.176389980833E+01    0.324552669411E+00    0.945552305590E+00
   -0.699601225028E+01    0.139732737676E+00    0.453740798587E-01
    0.405667710750E+01    0.304263135264E-01    0.364351339310E+00
    0.188384062688E+01    0.406780271434E+00    0.956126638672E+00
   -0.349980363878E+01    0.226086357230E+00    0.344298133841E+00
   -0.955793197681E+00    0.781486595310E+00    0.553996542554E+00
    0.528921907575E+01    0.845851815538E+00    0.540832807439E+00
   -0.378115152963E+01    0.331649593016E+00    0.257844296992E+00
   -0.537112878077E+01    0.700772024398E+00    0.506254071924E-01
    0.359880750674E+01    0.751601352271E+00    0.837959525516E+00
   -0.446562731680E+01    0.123978471726E+00    0.238853352919E+00
   -0.242503445337E+01    0.571262451370E+00    0.373634297192E+00
    0.410601525784E+01    0.564040784641E+00    0.635193885121E+00
    0.511329557543E+00    0.186746546789E+00    0.999969571890E+00
