   -4.5032853105E+00    5.3826591005E-01    2.9966470473E-03    3.3326927380E-03
   -2.3082956286E-01    6.3555388370E-01    2.0248845267E-01    1.9966171873E-01
    6.6474067637E+00    2.6020687618E-01    1.9969200896E-02    2.0279416066E-02
   -7.6193421032E+00    1.8002408003E-01    3.9173493619E-04    6.0915434159E-04
    7.2583795502E+00    1.6002395983E-01    5.6978817355E-03    5.9692268513E-03
    1.3890590358E+00    8.5501626957E-01    3.3416964002E-01    3.2941904206E-01
    3.0281207387E+00    3.5178024798E-01    7.0973968194E-01    7.1415458308E-01
   -9.2022549614E-01    7.5224655487E-01    6.1716720571E-02    5.9947935319E-02
   -3.7852364333E+00    5.6272269488E-01    6.4955589124E-03    6.7060318975E-03
   -4.9331165709E+00    4.0659630653E-01    3.6544790005E-03    4.1301449027E-03
   -1.1282972203E+00    6.7607704903E-01    7.1422352127E-02    6.9832830846E-02
   -4.3244909676E-01    4.4576392952E-01    3.5374246766E-01    3.5261341218E-01
    6.9651166982E+00    4.0177725320E-01    2.9431071759E-02    2.9587171434E-02
    1.7585223600E+00    3.3792239953E-02    6.3987654216E-01    6.4109155987E-01
    5.6586998667E+00    3.1406324025E-02    1.8185460578E-02    1.8576506622E-02
   -7.6253792888E+00    6.7538488431E-01    5.3984858163E-05    3.8479882748E-05
   -1.4522518223E+00    8.8470673524E-02    5.5059506123E-01    5.5105550271E-01
    4.6835911079E+00    8.6945594267E-01    9.2570681411E-01    9.3205574932E-01
    2.0151708481E+00    8.2173276404E-02    6.2819678956E-01    6.3047199096E-01
   -6.1086876556E+00    1.4933318828E-01    3.9794020787E-03    4.2503247819E-03
    3.5044303409E+00    1.1756359640E-01    2.4568646579E-01    2.4620060794E-01
    7.2271210251E+00    9.5359298453E-01    2.8390309376E-01    2.8564962963E-01
    1.4111198467E+00    3.2455266941E-01    9.9424355190E-01    9.9808831914E-01
   -5.5968098002E+00    1.3973273768E-01    7.8274653862E-03    8.0751930810E-03
    3.2453416860E+00    3.0426313526E-02    2.1669614347E-01    2.1672851706E-01
    1.5070725015E+00    4.0678027143E-01    9.7010346828E-01    9.7294482667E-01
   -2.7998429110E+00    2.2608635723E-01    1.0746297661E-01    1.0746829983E-01
   -7.6463455815E-01    7.8148659531E-01    6.3096877967E-02    6.1157295885E-02
    4.2313752606E+00    8.4585181554E-01    9.8007361437E-01    9.8550650493E-01
   -3.0249212237E+00    3.3164959302E-01    5.1730981676E-02    5.1632634096E-02
   -4.2969030246E+00    7.0077202440E-01    1.7966098041E-03    1.7474551084E-03
    2.8790460054E+00    7.5160135227E-01    9.3080235562E-01    9.3193762696E-01
   -3.5725018534E+00    1.2397847173E-01    7.9757722187E-02    7.9900779853E-02
   -1.9400275627E+00    5.7126245137E-01    5.0686281854E-02    4.9861624367E-02
    3.2848122063E+00    5.6404078464E-01    9.2098826570E-01    9.2652008810E-01
    4.0906364604E-01    1.8674654679E-01    9.5981991120E-01    9.6239137361E-01
   -7.6411092846E+00    3.0635773579E-01    9.2544279403E-05    2.9479369854E-04
   -6.8301136053E+00    1.2502148239E-01    1.8678897572E-03    2.0911488394E-03
   -1.2357292084E+00    8.9272168551E-01    2.2537987625E-02    2.1026379351E-02
    1.1905521548E-01    6.1080619431E-01    2.9996718086E-01    2.9686853545E-01
    3.7977721044E+00    2.3772524865E-02    1.2679422891E-01    1.2654369978E-01
    6.7281551317E+00    3.3136417822E-01    2.6558236112E-02    2.6765432208E-02
    1.5140894146E-01    5.9099705527E-01    3.3086163248E-01    3.2791394192E-01
   -7.5798989615E+00    7.2244727817E-01    7.4860056285E-05    3.1244366314E-05
   -7.5869361594E+00    3.5901616781E-01    4.8926772930E-05    2.3470654355E-04
    3.2090971033E+00    7.2992452141E-01    9.8972051362E-01    9.9308218332E-01
   -5.8413193649E+00    9.0727758704E-01    3.9995633076E-04    8.9072573055E-05
    8.4088981888E-01    7.7206518159E-01    2.9402739717E-01    2.8959337561E-01
    3.0001999532E-01    6.4897906741E-01    3.0113414128E-01    2.9755776072E-01
   -4.0726939568E+00    4.3757307382E-01    9.0262311212E-03    9.4167274457E-03
    5.1870439256E+00    1.6590980792E-01    6.1111485742E-02    6.1015034908E-02
    6.8787242073E+00    5.2598007157E-01    6.0389638789E-02    6.0273530201E-02
    3.1093594465E+00    6.8847583761E-01    9.9431317369E-01    9.9810014065E-01
   -2.4989978871E+00    3.5490079006E-01    7.9926003953E-02    7.9585674065E-02
   -3.0055083520E+00    1.1665538507E-01    1.4400420100E-01    1.4422807519E-01
   -9.7452395237E-01    4.8819108611E-01    1.9120006039E-01    1.8985326177E-01
    6.4517864581E+00    9.6725804579E-01    5.2189501675E-01    5.2640956975E-01
   -3.4309464709E+00    6.2768977249E-01    7.1111765707E-03    7.1122277377E-03
   -1.7358144888E+00    5.1343305798E-01    8.2502839413E-02    8.1510766767E-02
    1.0678894061E+00    3.5686384192E-01    9.3578688945E-01    9.3816104399E-01
    2.0107665528E+00    3.3869767935E-01    9.6242335111E-01    9.6727438370E-01
