   -0.450328531050E+01    0.107653182009E+01    0.149797636508E-01
   -0.230829562855E+00    0.127110776741E+01    0.595851831501E+00
    0.664740676367E+01    0.520413752352E+00    0.869453890420E-02
   -0.761934210318E+01    0.360048160049E+00    0.136885496417E-02
    0.725837955016E+01    0.320047919652E+00    0.387203100517E-02
    0.138905903584E+01    0.171003253915E+01    0.974679881038E+00
    0.302812073865E+01    0.703560495952E+00    0.324675053980E+00
   -0.920225496144E+00    0.150449310975E+01    0.298785009306E+00
   -0.378523643331E+01    0.112544538975E+01    0.290403692414E-01
   -0.493311657092E+01    0.813192613054E+00    0.126969466141E-01
   -0.112829722033E+01    0.135215409805E+01    0.285096026764E+00
   -0.432449096758E+00    0.891527859038E+00    0.663965051786E+00
    0.696511669824E+01    0.803554506406E+00    0.840035508946E-02
    0.175852236005E+01    0.675844799068E-01    0.525699305999E+00
    0.565869986673E+01    0.628126480499E-01    0.147427283418E-01
   -0.762537928882E+01    0.135076976863E+01    0.505426739097E-03
   -0.145225182228E+01    0.176941347048E+00    0.548257176087E+00
    0.468359110789E+01    0.173891188535E+01    0.189958922304E+00
    0.201517084812E+01    0.164346552807E+00    0.469363931887E+00
   -0.610868765558E+01    0.298666376554E+00    0.657582180464E-02
    0.350443034092E+01    0.235127192809E+00    0.141187880837E+00
    0.722712102509E+01    0.190718596905E+01    0.193821454644E-01
    0.141111984667E+01    0.649105338821E+00    0.867808208729E+00
   -0.559680980022E+01    0.279465475352E+00    0.111581680481E-01
    0.324534168600E+01    0.608526270527E-01    0.152693069270E+00
    0.150707250150E+01    0.813560542867E+00    0.888780786786E+00
   -0.279984291102E+01    0.452172714460E+00    0.143466505872E+00
   -0.764634558145E+00    0.156297319062E+01    0.323862716252E+00
    0.423137526060E+01    0.169170363108E+01    0.271105562514E+00
   -0.302492122370E+01    0.663299186031E+00    0.952411261936E-01
   -0.429690302462E+01    0.140154404880E+01    0.133152692539E-01
    0.287904600539E+01    0.150320270454E+01    0.644014537777E+00
   -0.357250185344E+01    0.247956943452E+00    0.839506259005E-01
   -0.194002756270E+01    0.114252490274E+01    0.167645626300E+00
