   -3.1066860685E+00    0.0000000000E+00    1.1622362932E+00    9.9862953475E-01
   -3.0368728985E+00    0.0000000000E+00    1.0858210670E+00    9.8768834060E-01
   -2.9670597284E+00    0.0000000000E+00    1.0057057140E+00    9.6592582629E-01
   -2.8972465583E+00    0.0000000000E+00    9.2210290844E-01    9.3358042650E-01
   -2.8274333882E+00    0.0000000000E+00    8.3527668650E-01    8.9100652419E-01
   -2.7576202182E+00    0.0000000000E+00    7.4554183626E-01    8.3867056795E-01
   -2.6878070481E+00    0.0000000000E+00    6.5326250708E-01    7.7714596146E-01
   -2.6179938780E+00    0.0000000000E+00    5.5885011497E-01    7.0710678119E-01
   -2.5481807079E+00    0.0000000000E+00    4.6276061614E-01    6.2932039105E-01
   -2.4783675378E+00    0.0000000000E+00    3.6549120516E-01    5.4463903502E-01
   -2.4085543678E+00    0.0000000000E+00    2.6757647635E-01    4.5399049974E-01
   -2.3387411977E+00    0.0000000000E+00    1.6958407103E-01    3.5836794955E-01
   -2.2689280276E+00    0.0000000000E+00    7.2109824967E-02    2.5881904510E-01
   -2.1991148575E+00    0.0000000000E+00   -2.4227568988E-02    1.5643446504E-01
   -2.1293016874E+00    0.0000000000E+00   -1.1879235932E-01    5.2335956243E-02
   -2.0594885174E+00    0.0000000000E+00   -2.1093795724E-01   -5.2335956243E-02
   -1.9896753473E+00    0.0000000000E+00   -3.0001352710E-01   -1.5643446504E-01
   -1.9198621772E+00    0.0000000000E+00   -3.8537087733E-01   -2.5881904510E-01
   -1.8500490071E+00    0.0000000000E+00   -4.6637157243E-01   -3.5836794955E-01
   -1.7802358370E+00    0.0000000000E+00   -5.4239418020E-01   -4.5399049974E-01
   -1.7104226670E+00    0.0000000000E+00   -6.1284156571E-01   -5.4463903502E-01
   -1.6406094969E+00    0.0000000000E+00   -6.7714814321E-01   -6.2932039105E-01
   -1.5707963268E+00    0.0000000000E+00   -7.3478699837E-01   -7.0710678119E-01
   -1.5009831567E+00    0.0000000000E+00   -7.8527679308E-01   -7.7714596146E-01
   -1.4311699866E+00    0.0000000000E+00   -8.2818836479E-01   -8.3867056795E-01
   -1.3613568166E+00    0.0000000000E+00   -8.6315093017E-01   -8.9100652419E-01
   -1.2915436465E+00    0.0000000000E+00   -8.8985780068E-01   -9.3358042650E-01
   -1.2217304764E+00    0.0000000000E+00   -9.0807151592E-01   -9.6592582629E-01
   -1.1519173063E+00    0.0000000000E+00   -9.1762830113E-01   -9.8768834060E-01
   -1.0821041362E+00    0.0000000000E+00   -9.1844175853E-01   -9.9862953475E-01
   -1.0122909662E+00    0.0000000000E+00   -9.1050571005E-01   -9.9862953475E-01
   -9.4247779608E-01    0.0000000000E+00   -8.9389612065E-01   -9.8768834060E-01
   -8.7266462600E-01    0.0000000000E+00   -8.6877204746E-01   -9.6592582629E-01
   -8.0285145592E-01    0.0000000000E+00   -8.3537557864E-01   -9.3358042650E-01
   -7.3303828584E-01    0.0000000000E+00   -7.9403074572E-01   -8.9100652419E-01
   -6.6322511576E-01    0.0000000000E+00   -7.4514141352E-01   -8.3867056795E-01
   -5.9341194568E-01    0.0000000000E+00   -6.8918816850E-01   -7.7714596146E-01
   -5.2359877560E-01    0.0000000000E+00   -6.2672424109E-01   -7.0710678119E-01
   -4.5378560552E-01    0.0000000000E+00   -5.5837050674E-01   -6.2932039105E-01
   -3.8397243544E-01    0.0000000000E+00   -4.8480961590E-01   -5.4463903502E-01
   -3.1415926536E-01    0.0000000000E+00   -4.0677930621E-01   -4.5399049974E-01
   -2.4434609528E-01    0.0000000000E+00   -3.2506495125E-01   -3.5836794955E-01
   -1.7453292520E-01    0.0000000000E+00   -2.4049140485E-01   -2.5881904510E-01
   -1.0471975512E-01    0.0000000000E+00   -1.5391420797E-01   -1.5643446504E-01
   -3.4906585040E-02    0.0000000000E+00   -6.6210241012E-02   -5.2335956243E-02
    3.4906585040E-02    0.0000000000E+00    2.1732073272E-02    5.2335956243E-02
    1.0471975512E-01    0.0000000000E+00    1.0902288230E-01    1.5643446504E-01
    1.7453292520E-01    0.0000000000E+00    1.9478116689E-01    2.5881904510E-01
    2.4434609528E-01    0.0000000000E+00    2.7814496219E-01    3.5836794955E-01
    3.1415926536E-01    0.0000000000E+00    3.5828132295E-01    4.5399049974E-01
    3.8397243544E-01    0.0000000000E+00    4.3439581293E-01    5.4463903502E-01
    4.5378560552E-01    0.0000000000E+00    5.0574130632E-01    6.2932039105E-01
    5.2359877560E-01    0.0000000000E+00    5.7162591410E-01    7.0710678119E-01
    5.9341194568E-01    0.0000000000E+00    6.3141988645E-01    7.7714596146E-01
    6.6322511576E-01    0.0000000000E+00    6.8456138887E-01    8.3867056795E-01
    7.3303828584E-01    0.0000000000E+00    7.3056109941E-01    8.9100652419E-01
    8.0285145592E-01    0.0000000000E+00    7.6900562024E-01    9.3358042650E-01
    8.7266462600E-01    0.0000000000E+00    7.9955973466E-01    9.6592582629E-01
    9.4247779608E-01    0.0000000000E+00    8.2196756697E-01    9.8768834060E-01
    1.0122909662E+00    0.0000000000E+00    8.3605271808E-01    9.9862953475E-01
    1.0821041362E+00    0.0000000000E+00    8.4171745409E-01    9.9862953475E-01
