  2.910569769190e-01  -2.442009363915e-01   9.724817661473e-01   1.157899389176e-01   2.146828753387e-01
  6.526895355263e-01  -2.117797264161e-01   8.732027134661e-01   7.942437938561e-02   3.578956904678e-01
 -4.971393093186e-01   1.809081678132e-01   3.208665650491e-01  -2.246878661397e-01  -8.035345198173e-01
  7.188166219312e-01  -3.560884968156e-01   1.309270333580e+00   6.029948415068e-02   3.749013465497e-01
  2.602090088151e-01   8.536714852992e-01   5.281860969617e-01   9.492282679404e-02   1.972037446019e-01
 -4.696065445576e-01   1.331373927267e+00   1.769357402487e+00  -2.103326330879e-01  -7.361609302898e-01
  6.494671826012e-02  -4.137623970027e-01   1.804775497531e+00   7.430367002968e-02   5.883254178094e-02
 -3.120136855698e-01   1.870167866771e-01   4.792829213121e-01  -1.911787182566e-01  -4.123362129399e-01
 -1.222685503331e-01   1.484155935569e+00   2.119488330114e+00  -1.715079715656e-02  -1.328784723441e-01
  2.674532212551e-01  -4.632281901858e-01   1.752249596200e+00   2.714329500845e-02   2.014023328576e-01
 -4.566254292586e-01   1.537663284272e-01   1.172605485325e-01  -1.959478236553e-01  -7.056148657239e-01
 -4.299640562232e-01   7.729145466945e-01   7.828549549260e-01   2.297331089630e-01  -6.452241780114e-01
  3.785515761655e-02   1.008663547877e+00   3.725321864991e-02  -8.046318872716e-03   3.518336335733e-02
  3.036287273044e-01  -2.258800368088e-01   8.873295989121e-01   1.131594369744e-01   2.215135321858e-01
  2.734187478799e-01   5.614426718377e-01   1.711804239874e+00   4.437615425849e-02   2.048160761703e-01
 -4.213514690237e-01   3.580069004046e-01   1.942160691173e+00  -1.792083090269e-01  -6.263697015176e-01
  8.159526309499e-01  -6.583643029199e-02   5.829222003426e-01   2.808370834131e-02   3.962613419388e-01
  8.613580381772e-01   1.750554022599e-01   8.021978826494e-01  -5.959627929176e-02   4.049544006592e-01
  5.528769432555e-01   5.096572512739e-01   1.585861429996e+00   5.459363733977e-03   3.277497698401e-01
  7.389930824164e-01   4.037343006021e-01   1.403531088647e+00  -4.278745638746e-02   3.796730155328e-01
  4.789223299683e-01   1.355848981538e+00   1.388967456198e+00  -7.607361431284e-02   3.013599556238e-01
 -1.190873986251e-01   1.246078621370e-01   2.049469379160e-01  -1.213490198989e-01  -1.290097813011e-01
 -1.608577996248e-02   9.849699363964e-01  -1.109786117764e-02   1.468952956052e-02  -1.574534957569e-02
  8.367699172510e-01   6.887064261863e-02   5.947017763723e-01  -2.871621125309e-02   4.003414435913e-01
  9.796049414625e-01   1.031308351312e+00   6.184676818864e-01  -1.166285295840e-02   4.243257382249e-01
  4.458361719074e-01   6.149512623782e-01   1.488246687852e+00   6.598302129390e-02   2.882794364938e-01
  9.223375310886e-01  -3.985753930171e-01   1.330418833311e+00   3.751956151152e-02   4.154942186695e-01
  9.383993466116e-01   1.213589067219e+00   9.081979842233e-01  -6.047140802157e-02   4.180703375250e-01
  1.554407358503e-01   9.290550164504e-01   2.232459713801e-01   5.693030312841e-02   1.294460605480e-01
  9.315485046380e-02   1.643318115392e-01   5.313681706520e-01  -1.203871364894e-01   8.217867630638e-02
 -4.488308912316e-01   1.201728983076e+00   5.396964150181e-01  -2.256047265677e-01  -6.876373034194e-01
  3.847017798633e-01   7.277434374664e-01   1.096206781069e+00   1.048344459408e-01   2.618018969830e-01
  7.587005212749e-01   2.726115550244e-01   1.068154780554e+00  -7.308536545848e-02   3.841580002050e-01
  1.435294072118e-01   1.101892401703e+00   3.016311754170e-01  -7.978930921460e-02   1.208401513574e-01
  2.798199258231e-01   3.727255950384e-01   1.532195647856e+00  -8.399740088196e-02   2.084357237371e-01
  5.090944318632e-01   7.436364765375e-01   1.024472692209e+00   9.383243273804e-02   3.125826011645e-01
  5.843758864363e-01   9.118459170550e-01   5.157405589094e-01   4.593838007810e-02   3.378965634334e-01
 -2.780457134693e-03   6.771853198112e-01   1.442899104595e+00   1.379786744719e-01  -2.686832583309e-03
 -3.253948092550e-01   5.290653558154e-02  -2.934272722285e-01  -6.849112759472e-02  -4.361731414214e-01
  7.458599173713e-01   9.838617999068e-01   5.151739856647e-01   7.566467439241e-03   3.812551334296e-01
  5.801589188545e-01   1.813812914349e-01   7.610762450819e-01  -7.966648852176e-02   3.365735970607e-01
  1.141097538606e-01  -1.930172920470e-01   6.860618196093e-01   1.286970277916e-01   9.871828739333e-02
 -8.233826077954e-02   7.802553396051e-01   7.954377758485e-01   1.630601074788e-01  -8.599633712984e-02
  9.956013741680e-01   9.079646934142e-01   6.792029840857e-01   3.211647942911e-02   4.266233857331e-01
  4.746179434937e-01   1.390663722671e+00   1.489352769542e+00  -6.156870830453e-02   2.997050584215e-01
  4.106887480348e-01   4.785429239293e-01   1.667034763646e+00  -1.387783171326e-02   2.734392086552e-01
  5.054266894801e-01  -7.538572760453e-02   4.532383485608e-01   4.298745039604e-02   3.112529586799e-01
  7.544958051536e-01   1.434102596513e+00   1.442452423388e+00  -2.982331016751e-02   3.832153427368e-01
  6.809080234890e-01   4.930734803968e-01   1.518318173989e+00  -3.462150531052e-03   3.654183927751e-01
  2.009550637579e-01   1.368917674124e+00   1.559922054353e+00  -9.271169673653e-02   1.605688889624e-01
  2.487707679185e-01  -2.030709518249e-01   7.713413175972e-01   1.154776793861e-01   1.904538637947e-01
  7.010499680585e-01  -1.431524499170e-01   6.834848804681e-01   6.111000408718e-02   3.705431600988e-01
  2.892636982312e-01   1.369110619941e+00   1.514913069654e+00  -8.505206874119e-02   2.136949672543e-01
 -2.220919430968e-01  -4.297479960590e-01   2.119946522985e+00   8.116692734829e-02  -2.671528915734e-01
  5.889068754407e-01   7.727772515581e-01   9.191439824932e-01   8.606610811685e-02   3.393061128405e-01
 -3.375799030932e-01   4.547788291507e-01   2.328989050280e+00  -5.952997559687e-02  -4.584208455169e-01
  4.065360684340e-01  -1.167526004218e-01   4.979954277790e-01   6.940598337694e-02   2.716184912041e-01
  1.459193281595e-01  -2.359000803273e-01   9.231304869041e-01   1.327393223573e-01   1.225827448664e-01
 -2.641055210815e-01   1.146863169261e+00   2.214243799281e-01  -1.577355057625e-01  -3.318619450698e-01
 -4.350483373475e-01  -4.545763260827e-01   2.459334295313e+00   6.567779459937e-02  -6.565023818422e-01
  2.073049748770e-01  -1.059519664688e-01   3.559524497458e-01   7.757759275461e-02   1.646979793604e-01
 -6.915945610115e-02  -2.435390840637e-01   9.566188395460e-01   1.638207119522e-01  -7.129838688542e-02
  9.157427484977e-01   3.899520147196e-01   1.318705961740e+00  -4.046553931902e-02   4.144131826077e-01
 -1.040688345896e-01  -5.081709023841e-02  -4.962280298704e-02   5.322591673690e-02  -1.110622334049e-01
  2.450909106967e-01   2.651200178955e-01   1.074902546923e+00  -1.205689172428e-01   1.882504930143e-01
 -4.695321362685e-01  -1.836421101620e-01   3.632964808587e-01   2.204986552974e-01  -7.359836520976e-01
  2.452463222007e-01   2.886749536421e-01   1.189967753944e+00  -1.175390980337e-01   1.883438644462e-01
 -4.014298085603e-01   9.909218605877e-02  -1.960903691411e-01  -1.317001106272e-01  -5.839385180650e-01
 -4.204064292095e-01   1.480440346546e+00   2.488236417565e+00  -2.819599532990e-02  -6.243198344078e-01
  2.621550674509e-01   1.163140923137e+00   5.968247191278e-01  -1.018330338777e-01   1.983374031956e-01
  3.469470031240e-01   1.302172729843e+00   1.230464196020e+00  -1.039445244723e-01   2.438215399385e-01
 -6.757747536412e-02  -1.526991768825e-01   3.873931958076e-01   1.340537239582e-01  -6.955901538823e-02
 -9.837533644220e-02   1.443835471070e+00   2.031696866183e+00  -5.828345203101e-02  -1.043930304500e-01
 -1.491178444135e-01   7.029689956638e-03  -1.534242788388e-01  -7.819301121429e-03  -1.664931909723e-01
  2.660988488729e-01   1.019317156298e+00   2.318990745540e-01  -1.437015895170e-02   2.006218172042e-01
  7.243413471209e-01   6.805123826582e-01   1.210392264217e+00   6.915601755546e-02   3.762264297094e-01
  5.661236787153e-02   1.121295835316e+00   3.150385603606e-01  -1.002821374136e-01   5.168826388166e-02
