   -4.9375000000E-01   -5.0000000000E-01    2.6031064698E+00    4.0351132339E-05   -7.9216389606E-01    2.6093765914E+00    3.0230741069E-17   -7.9504650646E-01
   -4.9375000000E-01    1.5000000000E+00    2.5894588856E+00   -1.4699769153E-03   -7.9577810294E-01    2.6093765914E+00   -9.0692223207E-17   -7.9504650646E-01
   -5.0000000000E-01   -4.9166666667E-01    2.5984424658E+00    1.3264151307E-02   -8.0891678695E-01    2.6168808094E+00    1.2997326400E-02   -8.1074196665E-01
    1.0000000000E+00   -4.9166666667E-01    1.3917184713E+00    3.6471174621E-03    4.3000697405E-01    1.3809405513E+00    3.0621976929E-03    4.2724286259E-01
   -4.8125000000E-01   -5.0000000000E-01    2.5841985514E+00    1.2495277270E-04   -7.6214682492E-01    2.5901051353E+00    2.9868743510E-17   -7.6421717070E-01
   -4.8125000000E-01    1.5000000000E+00    2.5732270443E+00   -1.3133855393E-03   -7.6595353660E-01    2.5901051353E+00   -8.9606230529E-17   -7.6421717070E-01
   -5.0000000000E-01   -4.7500000000E-01    2.5636754695E+00    3.9547706298E-02   -8.1146571900E-01    2.5991659249E+00    3.8849577772E-02   -8.1074196665E-01
    1.0000000000E+00   -4.7500000000E-01    1.3865281910E+00    1.0396047175E-02    4.2862841896E-01    1.3767668869E+00    9.1530430001E-03    4.2724286259E-01
   -4.6875000000E-01   -5.0000000000E-01    2.5653232635E+00    1.9845379256E-04   -7.3267450454E-01    2.5710644450E+00    2.9511080685E-17   -7.3412174521E-01
   -4.6875000000E-01    1.5000000000E+00    2.5568018512E+00   -1.1672138042E-03   -7.3656828471E-01    2.5710644450E+00   -8.8533242054E-17   -7.3412174521E-01
   -5.0000000000E-01   -4.5833333333E-01    2.5193445127E+00    6.5212264831E-02   -8.1332293248E-01    2.5639302438E+00    6.4276185041E-02   -8.1074196665E-01
    1.0000000000E+00   -4.5833333333E-01    1.3773566700E+00    1.6694718949E-02    4.2749011087E-01    1.3684652856E+00    1.5143605653E-02    4.2724286259E-01
   -4.5625000000E-01   -5.0000000000E-01    2.5465187200E+00    2.6137154742E-04   -7.0375965249E-01    2.5522517572E+00    2.9157700688E-17   -7.0474275885E-01
   -4.5625000000E-01    1.5000000000E+00    2.5402159472E+00   -1.0301869176E-03   -7.0765372918E-01    2.5522517572E+00   -8.7473102063E-17   -7.0474275885E-01
   -5.0000000000E-01   -4.4166666667E-01    2.4644911232E+00    8.9950323860E-02   -8.1455293095E-01    2.5115598158E+00    8.8998568976E-02   -8.1074196665E-01
    1.0000000000E+00   -4.4166666667E-01    1.3642627941E+00    2.2551553804E-02    4.2658187618E-01    1.3561267016E+00    2.0968251793E-02    4.2724286259E-01
   -4.4375000000E-01   -5.0000000000E-01    2.5278195035E+00    3.1429365183E-04   -6.7541192482E-01    2.5336643416E+00    2.8808552234E-17   -6.7606315635E-01
   -4.4375000000E-01    1.5000000000E+00    2.5235019304E+00   -9.0121012300E-04   -6.7923675820E-01    2.5336643416E+00   -8.6425656703E-17   -6.7606315635E-01
   -5.0000000000E-01   -4.2500000000E-01    2.3982737654E+00    1.1349197571E-01   -8.1524565342E-01    2.4426284221E+00    1.1274586596E-01   -8.1074196665E-01
    1.0000000000E+00   -4.2500000000E-01    1.3473415348E+00    2.7974849986E-02    4.2589037455E-01    1.3398863189E+00    2.6563165378E-02    4.2724286259E-01
   -4.3125000000E-01   -5.0000000000E-01    2.5092565602E+00    3.5785952047E-04   -6.4763815889E-01    2.5152995007E+00    2.8463584654E-17   -6.4806628848E-01
   -4.3125000000E-01    1.5000000000E+00    2.5066920389E+00   -7.7936542098E-04   -6.5133984804E-01    2.5152995007E+00   -8.5390753962E-17   -6.4806628848E-01
   -5.0000000000E-01   -4.0833333333E-01    2.3200124005E+00    1.3561086974E-01   -8.1550566092E-01    2.3578912895E+00    1.3525789565E-01   -8.1074196665E-01
    1.0000000000E+00   -4.0833333333E-01    1.3267254215E+00    3.2971139540E-02    4.2539966657E-01    1.3199220706E+00    3.1867047365E-02    4.2724286259E-01
   -4.1875000000E-01   -5.0000000000E-01    2.4908571665E+00    3.9274371578E-04   -6.2044261855E-01    2.4971545694E+00    2.8122747883E-17   -6.2073590234E-01
   -4.1875000000E-01    1.5000000000E+00    2.4898178423E+00   -6.6390539054E-04   -6.2398121368E-01    2.4971545694E+00   -8.4368243648E-17   -6.2073590234E-01
   -5.0000000000E-01   -3.9166666667E-01    2.2292323299E+00    1.5612365911E-01   -8.1544075257E-01    2.2582768158E+00    1.5628801153E-01   -8.1074196665E-01
    1.0000000000E+00   -3.9166666667E-01    1.3025866385E+00    3.7543790994E-02    4.2509170383E-01    1.2964526891E+00    3.6821787313E-02    4.2724286259E-01
   -4.0625000000E-01   -5.0000000000E-01    2.4726449591E+00    4.1964119457E-04   -5.9382723722E-01    2.4792269143E+00    2.7785992456E-17   -5.9405613195E-01
   -4.0625000000E-01    1.5000000000E+00    2.4729099524E+00   -5.5424437212E-04   -5.9717501598E-01    2.4792269143E+00   -8.3357977369E-17   -5.9405613195E-01
   -5.0000000000E-01   -3.7500000000E-01    2.1257079228E+00    1.7488376043E-01   -8.1515182972E-01    2.1448763980E+00    1.7560580325E-01   -8.1074196665E-01
    1.0000000000E+00   -3.7500000000E-01    1.2751392267E+00    4.1691916660E-02    4.2494674224E-01    1.2697353099E+00    4.1373100053E-02    4.2724286259E-01
   -3.9375000000E-01   -5.0000000000E-01    2.4546400227E+00    4.3925446894E-04   -5.6779185541E-01    2.4615139336E+00    2.7453269503E-17   -5.6801148902E-01
