# DNNF90 training history: one row per validation event
#  1:epoch  2:patience
#  3:cost_train    4:cost_val    5:cost_input   (per point;
#    the composite objective, Loss_term weights applied --
#    the same sum the optimizer descends)
#  6:cost_train_f  7:cost_train_df  8:cost_val_f  9:cost_val_df
# 10:cost_input_f 11:cost_input_df
# 12:rmse_train_f 13:rmse_train_df 14:rmse_val_f 15:rmse_val_df
# 16:rmse_input_f 17:rmse_input_df
# 18:mae_train_f  19:mae_train_df  20:mae_val_f  21:mae_val_df
# 22:mae_input_f  23:mae_input_df
# 24..: the same 21 metrics for each loss term in turn (2 terms: columns 24-44 are term 1, 45-65 term 2, ...)
1  0    0.14353E-01    0.95761E-02    0.14078E-01    0.13923E-01    0.43040E-02    0.91332E-02    0.44293E-02    0.13647E-01    0.43112E-02    0.37363E+00    0.92779E-01    0.38053E+00    0.94120E-01    0.37403E+00    0.92857E-01    0.27714E+00    0.70405E-01    0.25595E+00    0.71859E-01    0.27592E+00    0.70489E-01    0.32878E-01    0.21920E-01    0.32256E-01    0.32878E-01    0.00000E+00    0.21920E-01    0.00000E+00    0.32256E-01    0.00000E+00    0.25643E+00    0.00000E+00    0.20938E+00    0.00000E+00    0.25399E+00    0.00000E+00    0.16691E+00    0.00000E+00    0.11494E+00    0.00000E+00    0.16395E+00    0.00000E+00    0.74653E-03    0.75931E-03    0.74728E-03    0.00000E+00    0.74653E-02    0.00000E+00    0.75931E-02    0.00000E+00    0.74728E-02    0.44027E+00    0.12219E+00    0.46575E+00    0.12323E+00    0.44180E+00    0.12225E+00    0.35811E+00    0.12212E+00    0.35668E+00    0.12319E+00    0.35803E+00    0.12218E+00
200  0    0.10554E-01    0.88052E-02    0.10453E-01    0.10548E-01    0.54876E-04    0.88021E-02    0.30861E-04    0.10447E-01    0.53491E-04    0.32423E+00    0.10476E-01    0.34422E+00    0.78563E-02    0.32541E+00    0.10343E-01    0.23706E+00    0.67415E-02    0.24109E+00    0.53579E-02    0.23729E+00    0.66617E-02    0.24909E-01    0.21125E-01    0.24694E-01    0.24909E-01    0.00000E+00    0.21125E-01    0.00000E+00    0.24694E-01    0.00000E+00    0.22320E+00    0.00000E+00    0.20555E+00    0.00000E+00    0.22223E+00    0.00000E+00    0.16152E+00    0.00000E+00    0.14157E+00    0.00000E+00    0.16038E+00    0.00000E+00    0.95184E-05    0.52905E-05    0.92717E-05    0.00000E+00    0.95184E-04    0.00000E+00    0.52905E-04    0.00000E+00    0.92717E-04    0.38177E+00    0.13797E-01    0.41587E+00    0.10286E-01    0.38384E+00    0.13617E-01    0.29254E+00    0.11693E-01    0.31219E+00    0.91851E-02    0.29369E+00    0.11547E-01
400  0    0.10024E-01    0.85170E-02    0.99374E-02    0.99787E-02    0.45673E-03    0.84854E-02    0.31630E-03    0.98926E-02    0.44863E-03    0.31333E+00    0.30224E-01    0.33654E+00    0.25152E-01    0.31472E+00    0.29954E-01    0.22892E+00    0.21138E-01    0.23598E+00    0.18616E-01    0.22933E+00    0.20992E-01    0.23564E-01    0.20365E-01    0.23382E-01    0.23564E-01    0.00000E+00    0.20365E-01    0.00000E+00    0.23382E-01    0.00000E+00    0.21709E+00    0.00000E+00    0.20182E+00    0.00000E+00    0.21625E+00    0.00000E+00    0.15683E+00    0.00000E+00    0.13937E+00    0.00000E+00    0.15584E+00    0.00000E+00    0.79221E-04    0.54223E-04    0.77763E-04    0.00000E+00    0.79221E-03    0.00000E+00    0.54223E-03    0.00000E+00    0.77763E-03    0.36833E+00    0.39805E-01    0.40628E+00    0.32931E-01    0.37065E+00    0.39437E-01    0.28187E+00    0.36664E-01    0.30500E+00    0.31914E-01    0.28322E+00    0.36387E-01
600  0    0.81477E-02    0.77059E-02    0.81223E-02    0.80470E-02    0.10075E-02    0.76013E-02    0.10457E-02    0.80213E-02    0.10097E-02    0.26855E+00    0.44889E-01    0.29091E+00    0.45731E-01    0.26989E+00    0.44938E-01    0.19732E+00    0.25870E-01    0.20893E+00    0.27082E-01    0.19799E+00    0.25940E-01    0.19003E-01    0.18243E-01    0.18959E-01    0.19003E-01    0.00000E+00    0.18243E-01    0.00000E+00    0.18959E-01    0.00000E+00    0.19495E+00    0.00000E+00    0.19101E+00    0.00000E+00    0.19473E+00    0.00000E+00    0.14047E+00    0.00000E+00    0.13425E+00    0.00000E+00    0.14012E+00    0.00000E+00    0.17475E-03    0.17926E-03    0.17502E-03    0.00000E+00    0.17475E-02    0.00000E+00    0.17926E-02    0.00000E+00    0.17502E-02    0.31174E+00    0.59119E-01    0.34499E+00    0.59876E-01    0.31377E+00    0.59164E-01    0.23907E+00    0.44872E-01    0.26227E+00    0.46426E-01    0.24042E+00    0.44963E-01
800  0    0.49205E-02    0.43178E-02    0.48857E-02    0.42944E-02    0.62601E-02    0.34861E-02    0.83173E-02    0.42478E-02    0.63788E-02    0.21683E+00    0.11189E+00    0.22104E+00    0.12898E+00    0.21708E+00    0.11295E+00    0.15638E+00    0.69181E-01    0.15374E+00    0.82881E-01    0.15623E+00    0.69971E-01    0.10141E-01    0.83666E-02    0.10040E-01    0.10141E-01    0.00000E+00    0.83666E-02    0.00000E+00    0.10040E-01    0.00000E+00    0.14242E+00    0.00000E+00    0.12936E+00    0.00000E+00    0.14171E+00    0.00000E+00    0.84294E-01    0.00000E+00    0.69375E-01    0.00000E+00    0.83446E-01    0.00000E+00    0.10858E-02    0.14258E-02    0.11057E-02    0.00000E+00    0.10858E-01    0.00000E+00    0.14258E-01    0.00000E+00    0.11057E-01    0.25817E+00    0.14736E+00    0.26797E+00    0.16887E+00    0.25876E+00    0.14870E+00    0.20934E+00    0.11999E+00    0.21399E+00    0.14208E+00    0.20961E+00    0.12128E+00
1000  0    0.41269E-02    0.40671E-02    0.41234E-02    0.33834E-02    0.74350E-02    0.30352E-02    0.10319E-01    0.33633E-02    0.76014E-02    0.19054E+00    0.12194E+00    0.19158E+00    0.14366E+00    0.19060E+00    0.12330E+00    0.13920E+00    0.74109E-01    0.14095E+00    0.91338E-01    0.13930E+00    0.75103E-01    0.79897E-02    0.72844E-02    0.79496E-02    0.79897E-02    0.00000E+00    0.72844E-02    0.00000E+00    0.79496E-02    0.00000E+00    0.12641E+00    0.00000E+00    0.12070E+00    0.00000E+00    0.12609E+00    0.00000E+00    0.77505E-01    0.00000E+00    0.71947E-01    0.00000E+00    0.77189E-01    0.00000E+00    0.12896E-02    0.17690E-02    0.13176E-02    0.00000E+00    0.12896E-01    0.00000E+00    0.17690E-01    0.00000E+00    0.13176E-01    0.22635E+00    0.16060E+00    0.22916E+00    0.18810E+00    0.22651E+00    0.16233E+00    0.18452E+00    0.12854E+00    0.19023E+00    0.15658E+00    0.18485E+00    0.13018E+00
1200  0    0.26991E-02    0.30447E-02    0.27190E-02    0.18445E-02    0.85462E-02    0.17097E-02    0.13350E-01    0.18367E-02    0.88234E-02    0.13109E+00    0.13074E+00    0.13173E+00    0.16340E+00    0.13112E+00    0.13284E+00    0.94849E-01    0.77262E-01    0.96698E-01    0.10449E+00    0.94955E-01    0.78833E-01    0.43556E-02    0.41032E-02    0.43413E-02    0.43556E-02    0.00000E+00    0.41032E-02    0.00000E+00    0.43413E-02    0.00000E+00    0.93334E-01    0.00000E+00    0.90589E-01    0.00000E+00    0.93181E-01    0.00000E+00    0.59678E-01    0.00000E+00    0.60831E-01    0.00000E+00    0.59744E-01    0.00000E+00    0.14824E-02    0.22886E-02    0.15294E-02    0.00000E+00    0.14824E-01    0.00000E+00    0.22886E-01    0.00000E+00    0.15294E-01    0.15299E+00    0.17218E+00    0.15456E+00    0.21395E+00    0.15308E+00    0.17489E+00    0.12068E+00    0.13401E+00    0.12232E+00    0.17913E+00    0.12078E+00    0.13664E+00
1400  0    0.23059E-02    0.29975E-02    0.23458E-02    0.15329E-02    0.77297E-02    0.16178E-02    0.13797E-01    0.15378E-02    0.80798E-02    0.84267E-01    0.12434E+00    0.87167E-01    0.16612E+00    0.84437E-01    0.12712E+00    0.65522E-01    0.69993E-01    0.69952E-01    0.10730E+00    0.65777E-01    0.72145E-01    0.36199E-02    0.38827E-02    0.36348E-02    0.36199E-02    0.00000E+00    0.38827E-02    0.00000E+00    0.36348E-02    0.00000E+00    0.85087E-01    0.00000E+00    0.88122E-01    0.00000E+00    0.85262E-01    0.00000E+00    0.69548E-01    0.00000E+00    0.72489E-01    0.00000E+00    0.69715E-01    0.00000E+00    0.13407E-02    0.23652E-02    0.14005E-02    0.00000E+00    0.13407E-01    0.00000E+00    0.23652E-01    0.00000E+00    0.14005E-01    0.83659E-01    0.16375E+00    0.86479E-01    0.21750E+00    0.83826E-01    0.16736E+00    0.62565E-01    0.12140E+00    0.68140E-01    0.18395E+00    0.62890E-01    0.12505E+00
1600  0    0.17269E-02    0.22962E-02    0.17597E-02    0.10628E-02    0.66410E-02    0.10611E-02    0.12351E-01    0.10627E-02    0.69705E-02    0.89536E-01    0.11525E+00    0.86428E-01    0.15717E+00    0.89359E-01    0.11807E+00    0.67471E-01    0.67492E-01    0.64833E-01    0.97168E-01    0.67319E-01    0.69204E-01    0.25097E-02    0.25466E-02    0.25118E-02    0.25097E-02    0.00000E+00    0.25466E-02    0.00000E+00    0.25118E-02    0.00000E+00    0.70848E-01    0.00000E+00    0.71367E-01    0.00000E+00    0.70878E-01    0.00000E+00    0.49119E-01    0.00000E+00    0.48898E-01    0.00000E+00    0.49106E-01    0.00000E+00    0.11519E-02    0.21174E-02    0.12082E-02    0.00000E+00    0.11519E-01    0.00000E+00    0.21174E-01    0.00000E+00    0.12082E-01    0.10108E+00    0.15178E+00    0.95746E-01    0.20578E+00    0.10078E+00    0.15545E+00    0.80950E-01    0.11707E+00    0.76215E-01    0.16657E+00    0.80674E-01    0.11995E+00
1800  0    0.17675E-02    0.21800E-02    0.17913E-02    0.11790E-02    0.58849E-02    0.10567E-02    0.11233E-01    0.11719E-02    0.61935E-02    0.63961E-01    0.10849E+00    0.56237E-01    0.14989E+00    0.63541E-01    0.11130E+00    0.55158E-01    0.64696E-01    0.48454E-01    0.95853E-01    0.54771E-01    0.66494E-01    0.27841E-02    0.25360E-02    0.27700E-02    0.27841E-02    0.00000E+00    0.25360E-02    0.00000E+00    0.27700E-02    0.00000E+00    0.74620E-01    0.00000E+00    0.71218E-01    0.00000E+00    0.74431E-01    0.00000E+00    0.66561E-01    0.00000E+00    0.64740E-01    0.00000E+00    0.66457E-01    0.00000E+00    0.10207E-02    0.19257E-02    0.10735E-02    0.00000E+00    0.10207E-01    0.00000E+00    0.19257E-01    0.00000E+00    0.10735E-01    0.54827E-01    0.14288E+00    0.42411E-01    0.19625E+00    0.54181E-01    0.14653E+00    0.46782E-01    0.11222E+00    0.36820E-01    0.16432E+00    0.46201E-01    0.11526E+00
