 -1.79067033913029e+00   2.09604860833488e+00   1.65494670391293e-01   1.82561629182851e-01   4.73427155133566e-01   3.28047143659744e-01
 -1.78649009519328e+00  -2.86051474922957e+00   1.62740131448670e-01  -5.74675180481137e-02   9.08440089527495e-01   1.45883745756934e-02
  5.16888470857162e-02   1.70137415704538e+00   3.79610143948281e-01  -9.17770320728368e-01  -6.23541706926480e-03  -6.13607620636315e-03
 -8.73206309741643e-01   9.30295957500848e-01   2.04256917689722e-01  -4.94435666709096e-01  -4.39660980714471e-01   1.06086358018988e-01
 -1.95145098474260e+00   8.47737425872177e-02   2.10202881280488e-01   3.01630334189039e-02  -8.87002471955274e-01  -6.01553094291648e-02
  6.24053972052362e-01  -9.81595524859354e-01   3.96848607912570e-01   6.23203115712274e-01   2.99934262898843e-01   1.39255723506193e-02
  2.52380231077885e+00  -1.48802687469055e+00   7.74056315111170e-02  -7.99890157847832e-01   4.71526149534038e-02   1.59328873592456e-01
 -2.14004409096184e+00  -1.42094162185045e+00   9.19350001915485e-02  -5.23247957223518e-01  -1.23460655783583e-01   3.31189953643337e-01
  2.04060235618599e+00   4.30317963893120e-01   3.25055729706381e-01   1.76966784198130e-01   7.59359749733916e-01  -1.35781561756321e-02
  6.91145063296251e-01   1.82138259032341e+00   3.42565848064400e-01  -6.97022116844778e-01  -1.47595557300023e-01   1.50329822546535e-01
 -8.09521400572332e-01   2.91046766245488e+00   1.19657577905310e-01  -1.54287809899371e-01   6.88042078642702e-01  -2.01811685225607e-01
  2.19720667922170e-01  -9.09151041467816e-01   4.98780143798692e-01   6.96907472667742e-01   1.21201982297299e-01  -1.35157119237629e-01
  2.30343528873871e+00   2.37686537943117e+00   4.50900510204483e-01   4.23129261590322e-01  -4.90166943636887e-01   1.33579864575602e-02
  2.24881135607005e+00   1.56996911530948e-01   1.08381554587309e-01   9.59690435417768e-02   7.52745955586806e-01  -1.76669602264991e-01
  2.99650421504592e+00  -2.19758727086484e+00   2.34642447937070e-01  -7.64664400635012e-01  -8.09154304551808e-02  -1.47093622211852e-01
  8.94883405792823e-02  -8.34101264072736e-01   3.29002198295706e-01   6.90748891370372e-01   5.62183497613877e-02  -1.94356689077728e-01
 -1.40098924318215e+00   1.42429391651386e+00   1.94818249085540e-01  -1.60793170634354e-01  -1.38381098613040e-01   4.39451000531369e-01
  1.85361403068751e+00   4.02749957897095e-02   4.33819955418749e-01   1.03024015474665e-02   8.79753983450945e-01  -3.20534160517866e-02
 -1.02914855552743e+00   2.71927380895246e+00   3.66476271964881e-01  -1.96377208923089e-01   7.26340518629192e-01  -4.22286858129531e-02
  8.02283975506893e-01  -1.26205030038815e+00   7.31674522958325e-02   6.52580751817593e-01   2.15288208332362e-01   2.06151972633611e-01
