   -1.1123925646E+00   -2.8358295102E+00    0.0000000000E+00    1.5141380179E-01    8.0784369566E-01    7.3400354117E-03    1.3320698310E-01    8.5516603887E-01   -5.2603924893E-02
   -3.1131116527E+00   -2.8013370281E+00    0.0000000000E+00   -2.9476550110E-01   -4.4554023378E-03   -4.0779953757E-01   -3.3359272784E-01    2.6844538054E-02   -4.4390731247E-01
    5.9384331531E-01    2.9518359858E+00    0.0000000000E+00   -1.2860758739E-01   -5.1324487680E-01   -3.2237063397E-01   -1.5632750079E-01   -5.4950663243E-01   -3.2566289389E-01
   -3.1371533682E+00   -2.4542019316E+00    0.0000000000E+00   -6.1391197559E-01   -3.4668137388E-02   -2.7631597628E-01   -6.3451637000E-01    3.4311314805E-03   -2.9868066731E-01
    2.0722994501E+00    1.8267339639E+00    0.0000000000E+00    4.4117778462E-01   -2.1979705693E-01    3.1258501792E-01    4.6508452360E-01   -2.2197963837E-01    3.5239942659E-01
   -1.2224643128E+00    1.8656426197E-01    0.0000000000E+00   -2.9786373775E-02   -9.0454184283E-01   -3.7715399097E-02   -6.3311299258E-02   -9.2363280666E-01   -4.1051110671E-02
    2.1151466267E+00   -4.0027723205E-02    0.0000000000E+00   -1.4549449865E-02    8.2784422792E-01   -1.7154981841E-01   -2.0723318085E-02    8.5477869793E-01   -1.3329005363E-01
   -1.3268527474E+00    2.6917528024E+00    0.0000000000E+00   -1.1423547347E-01    8.6604797428E-01    7.6346351771E-02   -1.0502296662E-01    8.7385517319E-01    6.5366103013E-02
   -1.6150983323E+00   -1.3345780097E+00    0.0000000000E+00   -6.3693606140E-02   -2.4049729578E-01    4.8448722703E-01   -4.3057648416E-02   -2.3379802158E-01    4.7163483909E-01
    2.1887636948E-01    1.5611653188E-01    0.0000000000E+00   -1.2496241612E-01    2.4893955146E-01   -4.6921818479E-01   -1.5177363887E-01    2.1449228487E-01   -4.6433913891E-01
    1.7229182611E+00    2.9046075456E+00    0.0000000000E+00   -1.2278809427E-02   -9.1858353948E-01    2.3500660918E-03    3.5576549094E-02   -9.6082473232E-01    1.6077632772E-02
   -1.7025159086E+00   -1.4545959284E+00    0.0000000000E+00   -1.3572046559E-01   -1.2909121222E-01    4.8799962773E-01   -1.3045331444E-01   -1.1493475397E-01    4.8465409612E-01
    1.7500815487E+00    2.3604727999E+00    0.0000000000E+00    5.9861100289E-02   -6.8773077518E-01    1.8495772386E-01    1.2555510551E-01   -6.9874321000E-01    2.3196073698E-01
   -9.9227971150E-01    1.4392796905E+00    0.0000000000E+00   -5.1348255227E-01   -1.1042830823E-01    3.4533630520E-01   -5.4206060399E-01   -1.0979838339E-01    3.4191586240E-01
    3.0532566176E+00   -2.8651826205E+00    0.0000000000E+00   -2.4503786299E-01   -6.6078102170E-02   -4.1867122829E-01   -2.7183964150E-01   -8.4872438649E-02   -4.5887029064E-01
   -2.3397887149E+00    2.9704820239E+00    0.0000000000E+00    4.4253178070E-02    6.7814051390E-01   -2.2297735472E-01    1.1841249129E-01    7.0811732029E-01   -2.2730147890E-01
   -5.9024006431E-01    5.2966704218E-01    0.0000000000E+00   -4.3491212827E-01   -5.0906426046E-01   -2.3154426069E-01   -4.1976198931E-01   -4.8029797691E-01   -2.1748343481E-01
   -2.5737690652E+00    1.0752434484E+00    0.0000000000E+00    7.8677642926E-01   -2.5103877633E-01    2.6542715266E-02    7.4165671509E-01   -2.5573289362E-01    3.1554856921E-02
    2.7534482355E+00   -1.2667329477E+00    0.0000000000E+00   -8.9198215340E-01    1.5728246209E-01    6.0324744052E-02   -8.8315303145E-01    1.1331423998E-01    2.6800269228E-02
   -1.2700363456E+00   -1.6103134696E-01    0.0000000000E+00    5.5731434245E-02   -9.7431493587E-01   -1.9844745118E-02    4.7499011702E-02   -9.4275481528E-01   -3.1027029515E-02
   -2.9678725263E+00   -4.3226846033E-01    0.0000000000E+00   -3.9432795401E-01   -1.5327826617E-01   -3.7361023508E-01   -4.1262615935E-01   -1.5694875426E-01   -3.9730996477E-01
   -3.5841306274E-04    1.2198331489E+00    0.0000000000E+00   -9.8019464866E-01   -1.0567790675E-02   -8.7986678909E-02   -9.3904194525E-01   -1.2322327975E-04   -5.9099991661E-02
   -1.1655696737E+00   -1.6211229905E+00    0.0000000000E+00    3.9489800017E-01    6.0023561820E-02    4.2369995266E-01    3.9372792915E-01    4.6231340268E-02    4.2102719183E-01
   -1.5317094888E+00   -1.9920947616E+00    0.0000000000E+00    6.3850389041E-02    3.8006989430E-01    4.2444635725E-01    3.5659953125E-02    4.0863334549E-01    4.1561820758E-01
    1.5057895418E+00   -6.3235541526E-01    0.0000000000E+00   -2.0993635974E-02    7.9977534864E-01    1.4814609384E-01    3.8394968354E-02    8.0493381004E-01    1.7255793477E-01
   -3.9635084127E-01   -1.9053737711E+00    0.0000000000E+00    8.9895793445E-01    1.2182623108E-01    3.0341041062E-02    8.7132383312E-01    1.2676879724E-01    2.0605646990E-02
    2.1718206571E-01   -2.4902905550E+00    0.0000000000E+00    5.9264159512E-01   -1.8298097993E-01   -2.5997206525E-01    5.9198141531E-01   -1.7136919285E-01   -2.9303161238E-01
    1.0228857207E+00    9.2130148052E-01    0.0000000000E+00   -4.9133179346E-01    4.8725431387E-01    1.4138682550E-01   -4.1484308961E-01    5.1625270587E-01    1.8144712464E-01
   -1.1795277998E+00    2.5762869607E+00    0.0000000000E+00   -1.8526395759E-01    7.8827706416E-01    8.3676960106E-02   -2.0428536716E-01    7.8060835254E-01    7.0755052639E-02
    2.0685744166E+00   -5.6217511380E-01    0.0000000000E+00   -2.9500723978E-01    7.6398765578E-01   -3.2226905076E-02   -2.5450716184E-01    7.4342006627E-01    2.8068402592E-02
    1.5122950623E+00    2.9954219882E+00    0.0000000000E+00   -2.8863149322E-02   -9.5578037640E-01    5.0955871814E-04   -8.5158913485E-03   -9.8764360749E-01    8.8978170373E-03
   -1.6033605208E+00   -1.9348239794E+00    0.0000000000E+00   -3.5697467177E-04    3.2223202826E-01    4.3762018222E-01   -3.0424897467E-02    3.5585207213E-01    4.3608743662E-01
    1.9027224900E+00    9.9388295297E-01    0.0000000000E+00    2.7435805109E-01    5.3608051810E-01    2.6744592623E-01    2.7312353090E-01    5.1566744817E-01    2.9815399758E-01
    2.5388003249E+00   -3.9257397816E-01    0.0000000000E+00   -3.1229729603E-01    5.0197270102E-01   -2.6606441522E-01   -3.1514245829E-01    5.2381590676E-01   -2.6610767350E-01
   -5.0807005031E-01   -9.8591337986E-01    0.0000000000E+00    6.9196529168E-01   -3.0777983145E-01   -3.1207685806E-02    7.2845824353E-01   -2.6859309616E-01   -3.4070967143E-02
   -3.4799195459E-01   -2.0912905958E+00    0.0000000000E+00    8.3820028573E-01    1.5904568358E-01   -5.0735670943E-02    8.1557058266E-01    1.6958775159E-01   -6.5513939602E-02
    3.0913400026E+00   -2.2502724449E+00    0.0000000000E+00   -7.7329956958E-01   -2.0310697173E-02   -1.9874627515E-01   -7.7692000277E-01   -3.1564752160E-02   -1.9617261755E-01
   -1.8302013177E+00   -3.1943042767E-01    0.0000000000E+00   -1.0091461579E-01   -8.9244856939E-01    1.4010789572E-02   -8.0549356635E-02   -9.1764965769E-01    1.6408583039E-02
    2.4136720001E+00   -4.3689444722E-01    0.0000000000E+00   -3.2129946681E-01    5.9184098542E-01   -2.0806768587E-01   -3.1588995153E-01    6.0282538176E-01   -1.8915699231E-01
   -1.4767242269E+00   -1.2534625334E+00    0.0000000000E+00    5.9654535921E-02   -3.1756462233E-01    4.6550339098E-01    8.9243386325E-02   -3.1065492129E-01    4.4690546508E-01
   -2.3098397369E+00    3.0616687180E+00    0.0000000000E+00    3.0615848551E-02    7.3168114451E-01   -2.2576532192E-01    5.3777962921E-02    7.3675382727E-01   -2.2366868808E-01
   -1.4410390139E+00   -3.2639559165E-01    0.0000000000E+00    3.3548099779E-02   -9.7338663721E-01    5.4937422621E-02    4.1487568172E-02   -9.3924134138E-01    4.3030782759E-02
    2.3354052408E+00   -2.5975568967E-01    0.0000000000E+00   -1.7708484127E-01    6.7585927254E-01   -2.3016053819E-01   -1.7780180594E-01    6.9744367022E-01   -2.0662383552E-01
   -1.7932680256E-01   -3.1269224813E-01    0.0000000000E+00    3.0547265525E-01   -1.7471392050E-01   -4.4462247790E-01    3.0268842611E-01   -1.6971797634E-01   -4.3677709183E-01
   -1.3093033076E+00    3.1201618530E+00    0.0000000000E+00   -2.2980787794E-03    9.6215184744E-01   -5.5065759621E-02   -5.5399330062E-03    9.6578325046E-01   -3.3187493092E-02
    1.6426702708E+00   -1.7743638111E+00    0.0000000000E+00   -1.2142372458E-01   -2.2616629650E-01    4.5674509357E-01   -7.0329273174E-02   -2.0164247906E-01    4.7698628408E-01
   -2.7255017234E+00   -5.5813991737E-02    0.0000000000E+00   -6.0175593203E-02   -3.2811979773E-01   -3.8455119123E-01   -5.1025212525E-02   -4.0355861813E-01   -4.1676003883E-01
   -1.7727122083E+00    1.7519624615E+00    0.0000000000E+00    2.1829622172E-01    2.1804510860E-01    4.3249540045E-01    1.9726456031E-01    1.7651630241E-01    4.6365868944E-01
   -3.1173018267E+00   -3.5822467464E-01    0.0000000000E+00   -3.3453023882E-01   -6.2867357812E-02   -4.2971496563E-01   -3.5050872438E-01   -2.2746626358E-02   -4.3824059334E-01
