# DNNF90 training history: one row per validation event
#  1:epoch  2:patience
#  3:cost_train    4:cost_val    5:cost_input   (per point;
#    the composite objective, Loss_term weights applied --
#    the same sum the optimizer descends)
#  6:cost_train_f  7:cost_train_df  8:cost_val_f  9:cost_val_df
# 10:cost_input_f 11:cost_input_df
# 12:rmse_train_f 13:rmse_train_df 14:rmse_val_f 15:rmse_val_df
# 16:rmse_input_f 17:rmse_input_df
# 18:mae_train_f  19:mae_train_df  20:mae_val_f  21:mae_val_df
# 22:mae_input_f  23:mae_input_df
# 24..: the same 21 metrics for each loss term in turn (2 terms: columns 24-44 are term 1, 45-65 term 2, ...)
1  0    0.12257E+01    0.15501E+01    0.12488E+01    0.11924E+01    0.33270E+01    0.15086E+01    0.41523E+01    0.12150E+01    0.33860E+01    0.25645E+01    0.25795E+01    0.27777E+01    0.28818E+01    0.25803E+01    0.26023E+01    0.24169E+01    0.18066E+01    0.25670E+01    0.20270E+01    0.24276E+01    0.18224E+01    0.42179E+01    0.46417E+01    0.42524E+01    0.42179E+01    0.00000E+00    0.46417E+01    0.00000E+00    0.42524E+01    0.00000E+00    0.29045E+01    0.00000E+00    0.30469E+01    0.00000E+00    0.29163E+01    0.00000E+00    0.26986E+01    0.00000E+00    0.27034E+01    0.00000E+00    0.26990E+01    0.00000E+00    0.46382E-01    0.61516E-01    0.47403E-01    0.00000E+00    0.46382E+01    0.00000E+00    0.61516E+01    0.00000E+00    0.47403E+01    0.24174E+01    0.30457E+01    0.26383E+01    0.35076E+01    0.24330E+01    0.30791E+01    0.23059E+01    0.25186E+01    0.25013E+01    0.30030E+01    0.23191E+01    0.25513E+01
500  0    0.55809E-02    0.10359E-01    0.59222E-02    0.54839E-02    0.96982E-02    0.10180E-01    0.17883E-01    0.58194E-02    0.10283E-01    0.46091E+00    0.13927E+00    0.43462E+00    0.18912E+00    0.45908E+00    0.14341E+00    0.38733E+00    0.85343E-01    0.36805E+00    0.10138E+00    0.38595E+00    0.86488E-01    0.19399E-01    0.31323E-01    0.20368E-01    0.19399E-01    0.00000E+00    0.31323E-01    0.00000E+00    0.20368E-01    0.00000E+00    0.19697E+00    0.00000E+00    0.25029E+00    0.00000E+00    0.20183E+00    0.00000E+00    0.16752E+00    0.00000E+00    0.19656E+00    0.00000E+00    0.16988E+00    0.00000E+00    0.13520E-03    0.26493E-03    0.14396E-03    0.00000E+00    0.13520E-01    0.00000E+00    0.26493E-01    0.00000E+00    0.14396E-01    0.52997E+00    0.16444E+00    0.49968E+00    0.23019E+00    0.52798E+00    0.16968E+00    0.47396E+00    0.11898E+00    0.45062E+00    0.15019E+00    0.47238E+00    0.12108E+00
1000  0    0.57397E-02    0.94874E-02    0.60074E-02    0.56971E-02    0.42562E-02    0.94247E-02    0.62672E-02    0.59634E-02    0.43999E-02    0.50274E+00    0.92263E-01    0.47126E+00    0.11196E+00    0.50056E+00    0.93807E-01    0.42914E+00    0.56277E-01    0.41082E+00    0.71566E-01    0.42783E+00    0.57369E-01    0.20153E-01    0.28999E-01    0.20872E-01    0.20153E-01    0.00000E+00    0.28999E-01    0.00000E+00    0.20872E-01    0.00000E+00    0.20076E+00    0.00000E+00    0.24083E+00    0.00000E+00    0.20431E+00    0.00000E+00    0.17779E+00    0.00000E+00    0.20584E+00    0.00000E+00    0.18007E+00    0.00000E+00    0.59336E-04    0.92848E-04    0.61598E-04    0.00000E+00    0.59336E-02    0.00000E+00    0.92848E-02    0.00000E+00    0.61598E-02    0.58006E+00    0.10894E+00    0.54872E+00    0.13627E+00    0.57800E+00    0.11099E+00    0.52820E+00    0.78456E-01    0.50950E+00    0.10602E+00    0.52694E+00    0.80317E-01
1500  1    0.46950E-02    0.96610E-02    0.50497E-02    0.46236E-02    0.71392E-02    0.95916E-02    0.69416E-02    0.49784E-02    0.71251E-02    0.43052E+00    0.11949E+00    0.40398E+00    0.11783E+00    0.42868E+00    0.11937E+00    0.36311E+00    0.88159E-01    0.34929E+00    0.79779E-01    0.36212E+00    0.87560E-01    0.16356E-01    0.29513E-01    0.17425E-01    0.16356E-01    0.00000E+00    0.29513E-01    0.00000E+00    0.17425E-01    0.00000E+00    0.18086E+00    0.00000E+00    0.24295E+00    0.00000E+00    0.18668E+00    0.00000E+00    0.15331E+00    0.00000E+00    0.18874E+00    0.00000E+00    0.15619E+00    0.00000E+00    0.99527E-04    0.10284E-03    0.99751E-04    0.00000E+00    0.99527E-02    0.00000E+00    0.10284E-01    0.00000E+00    0.99751E-02    0.49549E+00    0.14109E+00    0.46191E+00    0.14341E+00    0.49329E+00    0.14125E+00    0.44579E+00    0.12290E+00    0.42659E+00    0.11819E+00    0.44450E+00    0.12258E+00
2000  0    0.42341E-02    0.62669E-02    0.43793E-02    0.42012E-02    0.32929E-02    0.62196E-02    0.47243E-02    0.43453E-02    0.33952E-02    0.42602E+00    0.81153E-01    0.39977E+00    0.97204E-01    0.42420E+00    0.82403E-01    0.35897E+00    0.53240E-01    0.33991E+00    0.51160E-01    0.35761E+00    0.53092E-01    0.14861E-01    0.19137E-01    0.15209E-01    0.14861E-01    0.00000E+00    0.19137E-01    0.00000E+00    0.15209E-01    0.00000E+00    0.17240E+00    0.00000E+00    0.19564E+00    0.00000E+00    0.17441E+00    0.00000E+00    0.15127E+00    0.00000E+00    0.15833E+00    0.00000E+00    0.15184E+00    0.00000E+00    0.45907E-04    0.69990E-04    0.47532E-04    0.00000E+00    0.45907E-02    0.00000E+00    0.69990E-02    0.00000E+00    0.47532E-02    0.49123E+00    0.95819E-01    0.46726E+00    0.11831E+00    0.48965E+00    0.97501E-01    0.44083E+00    0.74223E-01    0.42734E+00    0.75793E-01    0.43992E+00    0.74329E-01
2500  0    0.42378E-02    0.62001E-02    0.43779E-02    0.42154E-02    0.22406E-02    0.61412E-02    0.58946E-02    0.43529E-02    0.25016E-02    0.40705E+00    0.66942E-01    0.38001E+00    0.10858E+00    0.40518E+00    0.70733E-01    0.34477E+00    0.37617E-01    0.32307E+00    0.51478E-01    0.34322E+00    0.38607E-01    0.14911E-01    0.18896E-01    0.15235E-01    0.14911E-01    0.00000E+00    0.18896E-01    0.00000E+00    0.15235E-01    0.00000E+00    0.17269E+00    0.00000E+00    0.19440E+00    0.00000E+00    0.17456E+00    0.00000E+00    0.14751E+00    0.00000E+00    0.15263E+00    0.00000E+00    0.14793E+00    0.00000E+00    0.31236E-04    0.87327E-04    0.35022E-04    0.00000E+00    0.31236E-02    0.00000E+00    0.87327E-02    0.00000E+00    0.35022E-02    0.46823E+00    0.79040E-01    0.44243E+00    0.13216E+00    0.46653E+00    0.83693E-01    0.42251E+00    0.52442E-01    0.40514E+00    0.76264E-01    0.42133E+00    0.54050E-01
3000  0    0.36256E-02    0.60824E-02    0.38011E-02    0.36061E-02    0.19439E-02    0.60664E-02    0.15903E-02    0.37819E-02    0.19187E-02    0.37422E+00    0.62353E-01    0.35254E+00    0.56397E-01    0.37271E+00    0.61947E-01    0.31349E+00    0.42881E-01    0.29728E+00    0.36804E-01    0.31233E+00    0.42447E-01    0.12756E-01    0.18666E-01    0.13237E-01    0.12756E-01    0.00000E+00    0.18666E-01    0.00000E+00    0.13237E-01    0.00000E+00    0.15973E+00    0.00000E+00    0.19321E+00    0.00000E+00    0.16271E+00    0.00000E+00    0.13496E+00    0.00000E+00    0.14414E+00    0.00000E+00    0.13571E+00    0.00000E+00    0.27101E-04    0.23560E-04    0.26862E-04    0.00000E+00    0.27101E-02    0.00000E+00    0.23560E-02    0.00000E+00    0.26862E-02    0.43032E+00    0.73621E-01    0.40762E+00    0.68644E-01    0.42882E+00    0.73296E-01    0.38385E+00    0.59780E-01    0.37101E+00    0.54524E-01    0.38298E+00    0.59425E-01
3500  0    0.32491E-02    0.56924E-02    0.34236E-02    0.32200E-02    0.29037E-02    0.56577E-02    0.34759E-02    0.33942E-02    0.29446E-02    0.34233E+00    0.76206E-01    0.32554E+00    0.83377E-01    0.34116E+00    0.76741E-01    0.28525E+00    0.51051E-01    0.27266E+00    0.51208E-01    0.28435E+00    0.51063E-01    0.11391E-01    0.17408E-01    0.11880E-01    0.11391E-01    0.00000E+00    0.17408E-01    0.00000E+00    0.11880E-01    0.00000E+00    0.15093E+00    0.00000E+00    0.18659E+00    0.00000E+00    0.15414E+00    0.00000E+00    0.12515E+00    0.00000E+00    0.13407E+00    0.00000E+00    0.12587E+00    0.00000E+00    0.40480E-04    0.51494E-04    0.41224E-04    0.00000E+00    0.40480E-02    0.00000E+00    0.51494E-02    0.00000E+00    0.41224E-02    0.39294E+00    0.89978E-01    0.37449E+00    0.10148E+00    0.39172E+00    0.90801E-01    0.34835E+00    0.71171E-01    0.33939E+00    0.75864E-01    0.34775E+00    0.71488E-01
4000  0    0.26460E-02    0.47306E-02    0.27949E-02    0.25818E-02    0.64224E-02    0.46398E-02    0.90819E-02    0.27288E-02    0.66124E-02    0.32124E+00    0.11334E+00    0.30987E+00    0.13477E+00    0.32044E+00    0.11500E+00    0.26854E+00    0.69972E-01    0.26189E+00    0.84166E-01    0.26806E+00    0.70986E-01    0.91328E-02    0.14276E-01    0.95507E-02    0.91328E-02    0.00000E+00    0.14276E-01    0.00000E+00    0.95507E-02    0.00000E+00    0.13515E+00    0.00000E+00    0.16897E+00    0.00000E+00    0.13821E+00    0.00000E+00    0.11637E+00    0.00000E+00    0.12807E+00    0.00000E+00    0.11732E+00    0.00000E+00    0.89535E-04    0.13455E-03    0.92573E-04    0.00000E+00    0.89535E-02    0.00000E+00    0.13455E-01    0.00000E+00    0.92573E-02    0.36968E+00    0.13382E+00    0.35847E+00    0.16404E+00    0.36894E+00    0.13607E+00    0.32851E+00    0.97549E-01    0.32632E+00    0.12469E+00    0.32836E+00    0.99381E-01
4500  0    0.21674E-02    0.35321E-02    0.22649E-02    0.21023E-02    0.65058E-02    0.34455E-02    0.86623E-02    0.21983E-02    0.66598E-02    0.25416E+00    0.11407E+00    0.24982E+00    0.13162E+00    0.25385E+00    0.11541E+00    0.21103E+00    0.76302E-01    0.20683E+00    0.86035E-01    0.21073E+00    0.76998E-01    0.74368E-02    0.10601E-01    0.76939E-02    0.74368E-02    0.00000E+00    0.10601E-01    0.00000E+00    0.76939E-02    0.00000E+00    0.12196E+00    0.00000E+00    0.14561E+00    0.00000E+00    0.12405E+00    0.00000E+00    0.10137E+00    0.00000E+00    0.10608E+00    0.00000E+00    0.10176E+00    0.00000E+00    0.90697E-04    0.12833E-03    0.93237E-04    0.00000E+00    0.90697E-02    0.00000E+00    0.12833E-01    0.00000E+00    0.93237E-02    0.29016E+00    0.13468E+00    0.28680E+00    0.16021E+00    0.28993E+00    0.13656E+00    0.25424E+00    0.10637E+00    0.25534E+00    0.12746E+00    0.25432E+00    0.10780E+00
