# DNNF90 training history: one row per validation event
#  1:epoch  2:patience
#  3:cost_train    4:cost_val    5:cost_input   (per point;
#    the composite objective, Loss_term weights applied --
#    the same sum the optimizer descends)
#  6:cost_train_f  7:cost_train_df  8:cost_val_f  9:cost_val_df
# 10:cost_input_f 11:cost_input_df
# 12:rmse_train_f 13:rmse_train_df 14:rmse_val_f 15:rmse_val_df
# 16:rmse_input_f 17:rmse_input_df
# 18:mae_train_f  19:mae_train_df  20:mae_val_f  21:mae_val_df
# 22:mae_input_f  23:mae_input_df
1  0    0.10455E+03    0.10793E+03    0.10511E+03    0.17256E+01    0.10455E+03    0.17093E+01    0.10793E+03    0.17229E+01    0.10511E+03    0.18578E+01    0.44900E+03    0.18490E+01    0.45503E+03    0.18563E+01    0.45001E+03    0.18548E+01    0.22486E+04    0.18460E+01    0.22870E+04    0.18533E+01    0.22550E+04
500  0    0.76702E+01    0.74798E+01    0.76385E+01    0.12024E+03    0.76702E+01    0.12023E+03    0.74798E+01    0.12024E+03    0.76385E+01    0.15508E+02    0.11684E+03    0.15507E+02    0.11521E+03    0.15507E+02    0.11657E+03    0.15508E+02    0.84748E+03    0.15507E+02    0.86883E+03    0.15507E+02    0.85104E+03
1000  0    0.39203E+00    0.42789E+00    0.39800E+00    0.14618E+03    0.39203E+00    0.14618E+03    0.42789E+00    0.14618E+03    0.39800E+00    0.17099E+02    0.28325E+02    0.17099E+02    0.30138E+02    0.17099E+02    0.28635E+02    0.17099E+02    0.23888E+03    0.17099E+02    0.25061E+03    0.17099E+02    0.24084E+03
1500  0    0.19639E+00    0.21575E+00    0.19961E+00    0.15413E+03    0.19639E+00    0.15414E+03    0.21575E+00    0.15413E+03    0.19961E+00    0.17557E+02    0.21244E+02    0.17558E+02    0.22557E+02    0.17557E+02    0.21469E+02    0.17557E+02    0.17432E+03    0.17558E+02    0.18380E+03    0.17557E+02    0.17590E+03
2000  0    0.16229E+00    0.18171E+00    0.16553E+00    0.16379E+03    0.16229E+00    0.16379E+03    0.18171E+00    0.16379E+03    0.16553E+00    0.18099E+02    0.19171E+02    0.18099E+02    0.20576E+02    0.18099E+02    0.19413E+02    0.18099E+02    0.15295E+03    0.18099E+02    0.16157E+03    0.18099E+02    0.15439E+03
2500  0    0.97544E-01    0.11585E+00    0.10060E+00    0.17010E+03    0.97544E-01    0.17010E+03    0.11585E+00    0.17010E+03    0.10060E+00    0.18444E+02    0.15549E+02    0.18444E+02    0.17220E+02    0.18444E+02    0.15839E+02    0.18444E+02    0.12212E+03    0.18444E+02    0.13101E+03    0.18444E+02    0.12360E+03
3000  0    0.82089E-01    0.95698E-01    0.84357E-01    0.17971E+03    0.82089E-01    0.17970E+03    0.95698E-01    0.17971E+03    0.84357E-01    0.18958E+02    0.14517E+02    0.18958E+02    0.15906E+02    0.18958E+02    0.14758E+02    0.18958E+02    0.11125E+03    0.18958E+02    0.12072E+03    0.18958E+02    0.11283E+03
