   -1.0000000000E+00    1.9999766153E+00    2.0000246031E+00
   -8.1818181818E-01    1.6665573707E+00    1.6753963984E+00
   -6.3636363636E-01    1.4000204125E+00    1.3994759206E+00
   -4.5454545455E-01    1.2003903378E+00    1.1887997335E+00
   -2.7272727273E-01    1.0677660059E+00    1.0652867496E+00
   -9.0909090909E-02    1.0020348219E+00    9.8843153171E-01
    9.0909090909E-02    1.0030045422E+00    1.0094673349E+00
    2.7272727273E-01    1.0706255060E+00    1.1011844702E+00
    4.5454545455E-01    1.2049858486E+00    1.1967674399E+00
    6.3636363636E-01    1.4061194463E+00    1.3925491797E+00
    8.1818181818E-01    1.6739081325E+00    1.6792183286E+00
    1.0000000000E+00    2.0083207695E+00    2.0071377402E+00
